Episode,"Reward, FinalPosition",MaxPosition
0,-200.0,-0.5233321496549636,-0.5206452120506818
1,-200.0,-0.6165165480211608,-0.43980563635658765
2,-200.0,-0.636391605482814,-0.47720821570919525
3,-200.0,-0.6362836788588572,-0.5494509854941206
4,-200.0,-0.6363283461310483,-0.5077983863881673
5,-200.0,-0.6372914643765936,-0.5381496807294558
6,-200.0,-0.6387611876479197,-0.49661615346156107
7,-200.0,-0.4502470717593972,-0.4291818667586379
8,-200.0,-0.6151633611172311,-0.5954656594963208
9,-200.0,-0.6365237340362566,-0.5712730600005604
10,-200.0,-0.6371208318479351,-0.4808299256416379
11,-200.0,-0.6366611184209313,-0.5781755040590009
12,-200.0,-0.6364717782296448,-0.5386872849604485
13,-200.0,-0.6373438109608296,-0.5074168392510077
14,-200.0,-0.5230292190857123,-0.5172681120919916
15,-200.0,-0.4503564643288429,-0.4279875607814929
16,-200.0,-0.6426673222604784,-0.4868098125973395
17,-200.0,-0.4952723708841577,-0.43730222895105997
18,-200.0,-0.6445512137587353,-0.5947991439498845
19,-200.0,-0.6372778169729624,-0.5727605089798913
20,-200.0,-0.6380540107749257,-0.4599202272628714
21,-200.0,-0.6370622247545281,-0.5873243092744809
22,-200.0,-0.4511887293081702,-0.4313095353238282
23,-200.0,-0.6337332448279567,-0.41816408515563774
24,-200.0,-0.6382344008158054,-0.5373338673059517
25,-200.0,-0.6379574285410071,-0.5987399375074888
26,-200.0,-0.6342439841148977,-0.4496663691380114
27,-200.0,-0.6316495710073574,-0.41109073545937336
28,-200.0,-0.502103061734375,-0.4834323144956082
29,-200.0,-0.45026011027076196,-0.4291040034580975
30,-200.0,-0.6343908777655978,-0.45932405161865836
31,-200.0,-0.6406214036325891,-0.4551293061255892
32,-200.0,-0.6375448089934879,-0.5625413036107029
33,-200.0,-0.5239106485029238,-0.52014317631656
34,-200.0,-0.6377100993944668,-0.5011462769635038
35,-200.0,-0.6266241678958432,-0.59098213174844
36,-200.0,-0.6261707159133041,-0.5883800279402723
37,-200.0,-0.6392487192796555,-0.4440431365407685
38,-200.0,-0.6221982401363088,-0.40247704698308173
39,-200.0,-0.6379053197953913,-0.4086437903769346
40,-200.0,-0.6367785715990428,-0.4337100795304264
41,-200.0,-0.6423551121804291,-0.4897642609076867
42,-200.0,-0.6356848118866145,-0.4155039282401913
43,-200.0,-0.6356884188642924,-0.4786538303575491
44,-200.0,-0.6364769846697745,-0.47635528862720505
45,-200.0,-0.6372739118367589,-0.5382414976903309
46,-200.0,-0.6358464936768334,-0.5125870098280643
47,-200.0,-0.6380028743856587,-0.4222703951302568
48,-200.0,-0.6367793045811296,-0.5657181838257763
49,-200.0,-0.6370879994032851,-0.5144850973472743
50,-200.0,-0.5232220232698522,-0.5194213559023074
51,-200.0,-0.635897475917263,-0.5998699906847585
52,-200.0,-0.6374018665858905,-0.4745712859480181
53,-200.0,-0.6379602443906416,-0.47819986798825126
54,-200.0,-0.6373703453768377,-0.4330970279528451
55,-200.0,-0.6377922597877255,-0.5487234666287779
56,-200.0,-0.6467449964668506,-0.5062201862387199
57,-200.0,-0.6364517148476884,-0.48570581059353884
58,-200.0,-0.6360554746274971,-0.5008295727442501
59,-200.0,-0.6377181570980344,-0.4919877150883738
60,-200.0,-0.6372181203967995,-0.591142937584505
61,-200.0,-0.6371928808800902,-0.4200444852485798
62,-200.0,-0.6368241671806063,-0.5567889766587618
63,-200.0,-0.6360794192582444,-0.4018128807800343
64,-200.0,-0.6374101733021182,-0.5616255119261977
65,-200.0,-0.6362140829085661,-0.5097485280830599
66,-200.0,-0.6379738067439853,-0.5839262940163262
67,-200.0,-0.638858148251956,-0.49625199572509826
68,-200.0,-0.6357845256137808,-0.533595618368347
69,-200.0,-0.6367986196345496,-0.49718017550893356
70,-200.0,-0.6355868775816729,-0.5917102169088121
71,-200.0,-0.6365175495493979,-0.44757151657645144
72,-200.0,-0.6358576706705433,-0.4000164917941716
73,-200.0,-0.6379991711433878,-0.46999062829212557
74,-200.0,-0.63562395218802,-0.4430716692466842
75,-200.0,-0.6380707037417073,-0.45816716118915396
76,-200.0,-0.6373967529833006,-0.5332588232833539
77,-200.0,-0.6368565414643564,-0.5148001508224828
78,-200.0,-0.6388177416028814,-0.49640365867766334
79,-200.0,-0.6367143896060644,-0.5637190829294983
80,-200.0,-0.635871902036284,-0.4193052842866751
81,-200.0,-0.6382618026072576,-0.5382541621671713
82,-200.0,-0.6357989342285172,-0.4810027746787916
83,-200.0,-0.6374524548209558,-0.5378999397791469
84,-200.0,-0.6382166558276156,-0.5694708914107303
85,-200.0,-0.6364544144869991,-0.5895771452872882
86,-200.0,-0.6359078235213325,-0.4330930399673054
87,-200.0,-0.5238791914707349,-0.5204924930450141
88,-200.0,-0.6364681994122636,-0.5801587389600459
89,-200.0,-0.6368998130961626,-0.42468188169831667
90,-200.0,-0.6368887606115258,-0.5416736612095229
91,-200.0,-0.6360865971725389,-0.5068239907097729
92,-200.0,-0.6373055025018645,-0.5981614393935896
93,-200.0,-0.6365947501279412,-0.5656311453623978
94,-200.0,-0.6355587600188428,-0.5336754120130348
95,-200.0,-0.6374019776478826,-0.4147493186075131
96,-200.0,-0.5232999038186761,-0.520287207358178
97,-200.0,-0.6370996021144774,-0.5670147043762837
98,-200.0,-0.6345738908147479,-0.4542157622229891
99,-200.0,-0.6258944170016816,-0.504168869350666
