Episode,"Reward, FinalPosition",MaxPosition
0,-200.0,-0.6299768936737696,-0.5809490903781536
1,-200.0,-0.6338298562176126,-0.4906452804640066
2,-200.0,-0.5238785695000719,-0.5204993971914174
3,-200.0,-0.5621435237850683,-0.43012324715408956
4,-200.0,-0.5227113061467245,-0.49387794709690386
5,-200.0,-0.5286282761385608,-0.5050797129288737
6,-200.0,-0.5370869045829433,-0.5370869045829433
7,-200.0,-0.5740541426177835,-0.41793827424977636
8,-200.0,-0.6346351601300861,-0.44187381648840507
9,-200.0,-0.5043116476120538,-0.5042283928867056
10,-200.0,-0.6086357383261224,-0.5811843940186734
11,-200.0,-0.6317738748913051,-0.45475265144276
12,-200.0,-0.6312221045656496,-0.5345228231818222
13,-200.0,-0.6372898805358392,-0.5919703180204987
14,-200.0,-0.6346530595167703,-0.47245798334025124
15,-200.0,-0.6350725244190474,-0.48721646736452895
16,-200.0,-0.6380577656706422,-0.4946185847815351
17,-200.0,-0.6368547800655299,-0.5334910275703342
18,-200.0,-0.630132090634129,-0.5976357665482868
19,-200.0,-0.6377756203150313,-0.4892255307986357
20,-200.0,-0.6309404877359476,-0.4458643168569494
21,-200.0,-0.629400891807842,-0.408872972827959
22,-200.0,-0.6298479825361935,-0.4203798298923986
23,-200.0,-0.6384415042283748,-0.5481714528196809
24,-200.0,-0.6365950510977881,-0.4167804730980375
25,-200.0,-0.6335046839299143,-0.46838807411254924
26,-200.0,-0.6324002116353883,-0.5406582798237942
27,-200.0,-0.6300865337744863,-0.5771457949050267
28,-200.0,-0.6366966813356176,-0.4692136667850769
29,-200.0,-0.6358029856113979,-0.4964592232331818
30,-200.0,-0.6359119205497022,-0.4373946451162948
31,-200.0,-0.6304958172277103,-0.5979149471903149
32,-200.0,-0.6377240890993323,-0.4097237115366718
33,-200.0,-0.6296068252238518,-0.42240960304167924
34,-200.0,-0.537183556075487,-0.5366221793808972
35,-200.0,-0.6360923329760071,-0.4143350422497746
36,-200.0,-0.5405665787338633,-0.540481996343541
37,-200.0,-0.6346820807618789,-0.46720718386932103
38,-200.0,-0.6299819326397997,-0.5809349133353516
39,-200.0,-0.6391719155445001,-0.5671612121776912
40,-200.0,-0.6313467074602243,-0.5997214696612511
41,-200.0,-0.6321971918948911,-0.539323844016476
42,-200.0,-0.635936409794747,-0.5974534114776243
43,-200.0,-0.6371419617354358,-0.5314175427320639
44,-200.0,-0.6340304299658972,-0.4613403145026309
45,-200.0,-0.6380532072418906,-0.450559747793707
46,-200.0,-0.635066990266587,-0.410809835203575
47,-200.0,-0.6304124443282062,-0.5727557584643385
48,-200.0,-0.6390553228651471,-0.584385243103744
49,-200.0,-0.5231359287699471,-0.5184617946628236
50,-200.0,-0.6370177422428649,-0.5555308286502678
51,-200.0,-0.6367439105216894,-0.44299641508394266
52,-200.0,-0.6315084389564575,-0.5580169139666821
53,-200.0,-0.6293664582786176,-0.41490332341033853
54,-200.0,-0.63151021960319,-0.4537533320025807
55,-200.0,-0.631206876971015,-0.5725348401014793
56,-200.0,-0.6348238774633809,-0.4707849684715175
57,-200.0,-0.6308449313652466,-0.49337043287896326
58,-200.0,-0.6301721817116599,-0.5651616955067789
59,-200.0,-0.6361465245635946,-0.4440868335238823
60,-200.0,-0.6353515304273116,-0.5441107554083412
61,-200.0,-0.6372712877850863,-0.5674875686530122
62,-200.0,-0.5241759329936234,-0.5171835685016404
63,-200.0,-0.6347424071800578,-0.4252785985703118
64,-200.0,-0.637268826586172,-0.5110312049080896
65,-200.0,-0.635180611628,-0.4073990013430344
66,-200.0,-0.6333498929471766,-0.48625865518138217
67,-200.0,-0.6308327096215562,-0.4934183453771634
68,-200.0,-0.6351898106698087,-0.5153431059892996
69,-200.0,-0.631340162825475,-0.5700426978398107
70,-200.0,-0.5235111661624355,-0.5226290897987038
71,-200.0,-0.6371546682580552,-0.47027859616465784
72,-200.0,-0.6303618801878652,-0.48246418863702073
73,-200.0,-0.6361415490560948,-0.41343654213353254
74,-200.0,-0.6299252682701992,-0.45659080843866406
75,-200.0,-0.6340911220367438,-0.5639466270002379
76,-200.0,-0.6292278519983345,-0.5764120647048654
77,-200.0,-0.633038301111263,-0.42621088107575655
78,-200.0,-0.6336464154029516,-0.5590605544318203
79,-200.0,-0.6317207150480727,-0.47443671593502235
80,-200.0,-0.6342376684183815,-0.5548417728105393
81,-200.0,-0.6353261590311319,-0.5354975162375053
82,-200.0,-0.6316493091837966,-0.5956649360825907
83,-200.0,-0.5237052488654123,-0.5224203769086821
84,-200.0,-0.634480891809409,-0.42133809560088065
85,-200.0,-0.6305275857095048,-0.5978261321470973
86,-200.0,-0.631540147068939,-0.4675961572126651
87,-200.0,-0.6336773021630008,-0.5029813701290798
88,-200.0,-0.5237188771435365,-0.5222694910059312
89,-200.0,-0.6378561177946536,-0.40939813202220254
90,-200.0,-0.6344896974657466,-0.41274966761588805
91,-200.0,-0.6333041552097785,-0.49104003045516886
92,-200.0,-0.6377678683812992,-0.4227993886709549
93,-200.0,-0.6322454500908254,-0.49958799558287814
94,-200.0,-0.6318020767086585,-0.5038230408695733
95,-200.0,-0.6330667846798859,-0.4629953211125781
96,-200.0,-0.6337620731910858,-0.4416945257520398
97,-200.0,-0.5579090123878431,-0.49099793891919263
98,-200.0,-0.5592126029344002,-0.5561931478931935
99,-200.0,-0.6300940632543136,-0.4962394917204556
