Episode,"Reward, FinalPosition",MaxPosition
0,-154.0,0.5,0.5
1,-144.0,0.5,0.5
2,-146.0,0.5,0.5
3,-147.0,0.5,0.5
4,-146.0,0.5,0.5
5,-149.0,0.5,0.5
6,-151.0,0.5,0.5
7,-149.0,0.5,0.5
8,-144.0,0.5,0.5
9,-142.0,0.5,0.5
10,-143.0,0.5,0.5
11,-142.0,0.5,0.5
12,-150.0,0.5,0.5
13,-150.0,0.5,0.5
14,-149.0,0.5,0.5
15,-142.0,0.5,0.5
16,-148.0,0.5,0.5
17,-148.0,0.5,0.5
18,-148.0,0.5,0.5
19,-156.0,0.5,0.5
20,-148.0,0.5,0.5
21,-145.0,0.5,0.5
22,-151.0,0.5,0.5
23,-165.0,0.5,0.5
24,-147.0,0.5,0.5
25,-148.0,0.5,0.5
26,-146.0,0.5,0.5
27,-147.0,0.5,0.5
28,-150.0,0.5,0.5
29,-153.0,0.5,0.5
30,-155.0,0.5,0.5
31,-149.0,0.5,0.5
32,-145.0,0.5,0.5
33,-145.0,0.5,0.5
34,-150.0,0.5,0.5
35,-150.0,0.5,0.5
36,-156.0,0.5,0.5
37,-161.0,0.5,0.5
38,-154.0,0.5,0.5
39,-147.0,0.5,0.5
40,-150.0,0.5,0.5
41,-145.0,0.5,0.5
42,-151.0,0.5,0.5
43,-154.0,0.5,0.5
44,-142.0,0.5,0.5
45,-150.0,0.5,0.5
46,-153.0,0.5,0.5
47,-148.0,0.5,0.5
48,-149.0,0.5,0.5
49,-149.0,0.5,0.5
50,-153.0,0.5,0.5
51,-144.0,0.5,0.5
52,-146.0,0.5,0.5
53,-154.0,0.5,0.5
54,-155.0,0.5,0.5
55,-146.0,0.5,0.5
56,-153.0,0.5,0.5
57,-154.0,0.5,0.5
58,-146.0,0.5,0.5
59,-150.0,0.5,0.5
60,-150.0,0.5,0.5
61,-145.0,0.5,0.5
62,-150.0,0.5,0.5
63,-150.0,0.5,0.5
64,-159.0,0.5,0.5
65,-151.0,0.5,0.5
66,-143.0,0.5,0.5
67,-152.0,0.5,0.5
68,-155.0,0.5,0.5
69,-151.0,0.5,0.5
70,-153.0,0.5,0.5
71,-143.0,0.5,0.5
72,-151.0,0.5,0.5
73,-148.0,0.5,0.5
74,-145.0,0.5,0.5
75,-155.0,0.5,0.5
76,-149.0,0.5,0.5
77,-144.0,0.5,0.5
78,-142.0,0.5,0.5
79,-150.0,0.5,0.5
80,-145.0,0.5,0.5
81,-150.0,0.5,0.5
82,-145.0,0.5,0.5
83,-153.0,0.5,0.5
84,-146.0,0.5,0.5
85,-144.0,0.5,0.5
86,-146.0,0.5,0.5
87,-155.0,0.5,0.5
88,-143.0,0.5,0.5
89,-153.0,0.5,0.5
90,-150.0,0.5,0.5
91,-154.0,0.5,0.5
92,-155.0,0.5,0.5
93,-154.0,0.5,0.5
94,-154.0,0.5,0.5
95,-143.0,0.5,0.5
96,-157.0,0.5,0.5
97,-147.0,0.5,0.5
98,-152.0,0.5,0.5
99,-144.0,0.5,0.5
