Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.6,-0.4
1,-200.0,-0.6,-0.3
2,-200.0,-0.5,-0.4
3,-200.0,-0.5,-0.4
4,-200.0,-0.4,-0.4
5,-200.0,-0.3,-0.3
6,-200.0,-0.7,-0.3
7,-200.0,-0.7,-0.2
8,-200.0,-0.5,-0.5
9,-200.0,-0.4,-0.2
10,-200.0,-0.6,-0.4
11,-200.0,-0.5,-0.4
12,-200.0,-0.6,-0.3
13,-200.0,-0.6,-0.5
14,-200.0,-0.8,-0.3
15,-200.0,-0.5,-0.3
16,-200.0,-0.4,-0.2
17,-200.0,-0.5,-0.1
18,-200.0,-0.3,-0.3
19,-200.0,-0.3,-0.2
20,-200.0,-0.7,-0.1
21,-200.0,-1.0,-0.2
22,-200.0,-0.4,-0.3
23,-200.0,-0.4,-0.2
24,-200.0,-0.7,-0.2
25,-200.0,-0.5,-0.2
26,-200.0,-0.5,-0.5
27,-200.0,-0.2,-0.2
28,-200.0,-0.6,-0.2
29,-200.0,-0.5,-0.5
30,-200.0,-0.6,-0.3
31,-200.0,-0.3,-0.3
32,-200.0,-0.6,-0.4
33,-200.0,-0.6,-0.5
34,-200.0,-0.6,-0.3
35,-200.0,-0.8,-0.3
36,-200.0,-0.4,-0.4
37,-200.0,-0.8,-0.2
38,-200.0,-0.3,-0.1
39,-200.0,-0.3,-0.2
40,-200.0,-0.8,-0.2
41,-200.0,-0.6,-0.5
42,-200.0,-0.6,-0.3
43,-200.0,-0.9,-0.2
44,-200.0,-0.3,-0.3
45,-200.0,-0.6,-0.4
46,-200.0,-0.8,-0.3
47,-200.0,-0.4,-0.3
48,-200.0,-0.5,-0.3
49,-200.0,-0.6,-0.2
50,-200.0,-0.8,-0.2
51,-200.0,-0.3,-0.2
52,-200.0,-0.9,-0.1
53,-200.0,-0.8,-0.4
54,-200.0,-0.8,-0.1
55,-200.0,-0.3,-0.3
56,-200.0,-0.7,-0.3
57,-200.0,-0.2,-0.2
58,-200.0,-0.9,-0.2
59,-200.0,-0.7,-0.1
60,-200.0,-0.6,-0.5
61,-200.0,-0.6,-0.2
62,-200.0,-0.9,-0.1
63,-200.0,-0.5,-0.2
64,-200.0,-0.5,-0.2
65,-200.0,-0.5,-0.5
66,-200.0,-1.0,-0.1
67,-200.0,-0.7,-0.2
68,-200.0,-0.1,-0.1
69,-200.0,-0.3,-0.2
70,-200.0,-0.6,-0.2
71,-200.0,-0.3,-0.1
72,-200.0,-0.9,-0.2
73,-200.0,-0.9,-0.1
74,-200.0,-0.9,-0.2
75,-200.0,-0.5,-0.1
76,-200.0,-0.8,-0.3
77,-200.0,-0.6,-0.2
78,-200.0,-0.7,-0.1
79,-200.0,-0.2,-0.0
80,-200.0,-0.2,-0.2
81,-200.0,-0.2,-0.2
82,-200.0,-0.2,-0.2
83,-200.0,-0.7,-0.3
84,-200.0,-0.3,-0.3
85,-200.0,-0.4,-0.4
86,-200.0,-0.3,-0.3
87,-200.0,-0.2,-0.2
88,-200.0,-0.2,-0.1
89,-200.0,-0.2,-0.2
90,-200.0,-0.3,-0.2
91,-200.0,-0.4,-0.2
92,-200.0,-0.6,-0.3
93,-200.0,-0.6,-0.4
94,-200.0,-0.1,-0.0
95,-200.0,-0.7,-0.1
96,-200.0,-0.6,-0.1
97,-200.0,-0.9,-0.1
98,-200.0,-0.5,-0.5
99,-200.0,-0.7,-0.1
100,-200.0,-0.7,-0.2
101,-200.0,-0.7,-0.4
102,-200.0,-0.8,-0.2
103,-200.0,-0.7,-0.2
104,-200.0,-0.6,-0.1
105,-200.0,-0.6,-0.2
106,-200.0,-1.0,-0.1
107,-200.0,-0.4,-0.2
108,-200.0,-0.8,-0.2
109,-200.0,-0.9,-0.1
110,-200.0,-0.7,-0.3
111,-200.0,-0.6,-0.5
112,-200.0,-1.1,-0.0
113,-200.0,-0.2,-0.2
114,-200.0,-0.2,-0.1
115,-200.0,-0.2,-0.2
116,-200.0,-0.4,-0.2
117,-200.0,-0.5,-0.1
118,-200.0,-0.6,-0.0
119,-200.0,-0.6,-0.1
120,-200.0,-0.9,-0.0
121,-200.0,-0.5,-0.5
122,-200.0,-0.6,-0.3
123,-200.0,-0.2,-0.2
124,-200.0,-0.2,-0.0
125,-200.0,-0.4,-0.3
126,-200.0,-0.3,-0.2
127,-200.0,-0.5,-0.5
128,-200.0,-0.6,-0.1
129,-200.0,-0.6,-0.4
130,-200.0,-0.8,-0.1
131,-200.0,-0.0,-0.0
132,-200.0,-0.4,-0.4
133,-200.0,-0.9,-0.2
134,-200.0,-0.9,-0.1
135,-200.0,-0.0,0.1
136,-200.0,-0.6,-0.4
137,-200.0,-0.6,-0.4
138,-200.0,-0.8,-0.2
139,-200.0,-1.1,0.1
140,-200.0,-0.8,-0.3
141,-200.0,-0.9,-0.1
142,-200.0,-0.7,-0.2
143,-200.0,-0.3,-0.1
144,-200.0,-0.7,-0.2
145,-200.0,-0.4,-0.1
146,-200.0,-0.7,-0.1
147,-200.0,-0.9,-0.2
148,-200.0,-0.8,0.1
149,-200.0,-0.9,-0.2
150,-200.0,-0.6,-0.1
151,-200.0,-0.5,-0.0
152,-200.0,-0.6,-0.1
153,-200.0,-0.8,-0.2
154,-200.0,0.0,-0.0
155,-200.0,-0.4,-0.1
156,-200.0,-1.2,-0.0
157,-200.0,-0.9,-0.1
158,-200.0,-0.7,-0.1
159,-200.0,-0.5,-0.1
160,-200.0,-0.5,-0.5
161,-200.0,-0.5,-0.5
162,-200.0,0.1,0.1
163,-200.0,-0.7,-0.1
164,-200.0,-1.0,-0.2
165,-200.0,-1.1,-0.0
166,-200.0,-0.2,-0.2
167,-200.0,-0.2,-0.1
168,-200.0,-0.7,-0.2
169,-200.0,-0.9,-0.2
170,-200.0,-0.7,-0.2
171,-200.0,-1.1,0.1
172,-200.0,-0.2,-0.2
173,-200.0,-0.5,-0.1
