Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.6,-0.5
1,-200.0,-0.9,-0.1
2,-200.0,-0.5,-0.5
3,-200.0,-0.3,-0.3
4,-200.0,-0.5,-0.4
5,-200.0,-0.6,-0.3
6,-200.0,-0.4,-0.4
7,-200.0,-0.5,-0.5
8,-200.0,-0.6,-0.3
9,-200.0,-0.8,-0.3
10,-200.0,-0.7,-0.4
11,-200.0,-0.7,-0.3
12,-200.0,-0.7,-0.3
13,-200.0,-0.6,-0.2
14,-200.0,-0.7,-0.3
15,-200.0,-0.8,-0.2
16,-200.0,-0.7,-0.4
17,-200.0,-0.8,-0.1
18,-200.0,-0.7,-0.2
19,-200.0,-0.7,-0.4
20,-200.0,-0.6,-0.3
21,-200.0,-0.3,-0.2
22,-200.0,-0.4,-0.2
23,-200.0,-0.7,-0.2
24,-200.0,-0.8,-0.1
25,-200.0,-0.6,-0.2
26,-200.0,-0.7,-0.2
27,-200.0,-0.5,-0.3
28,-200.0,-0.6,-0.2
29,-200.0,-0.6,-0.1
30,-200.0,-0.6,-0.2
31,-200.0,-0.1,-0.1
32,-200.0,-0.5,-0.4
33,-200.0,-0.6,-0.2
34,-200.0,-0.5,-0.5
35,-200.0,-0.2,-0.1
36,-200.0,-0.5,-0.2
37,-200.0,-0.2,-0.2
38,-200.0,-0.7,-0.1
39,-200.0,-0.4,-0.2
40,-200.0,-0.5,-0.3
41,-200.0,-0.6,-0.2
42,-200.0,-0.8,-0.2
43,-200.0,-0.9,-0.2
44,-200.0,-0.7,-0.1
45,-200.0,-0.8,-0.2
46,-200.0,-0.8,-0.2
47,-200.0,-0.3,-0.1
48,-200.0,-0.6,-0.1
49,-200.0,-0.8,-0.1
50,-200.0,-0.6,-0.3
51,-200.0,-0.8,-0.1
52,-200.0,-0.5,-0.1
53,-200.0,-0.8,-0.2
54,-200.0,-0.4,-0.2
55,-200.0,-0.5,-0.3
56,-200.0,-0.5,-0.3
57,-200.0,-0.9,-0.3
58,-200.0,-0.6,-0.2
59,-200.0,-0.5,-0.0
60,-200.0,-0.3,-0.2
61,-200.0,-0.6,-0.2
62,-200.0,-0.1,-0.1
63,-200.0,-0.4,-0.2
64,-200.0,-0.2,-0.2
65,-200.0,-0.7,-0.0
66,-200.0,-0.4,-0.3
67,-200.0,-0.4,-0.4
68,-200.0,-0.5,-0.4
69,-200.0,-0.6,-0.4
70,-200.0,-0.5,-0.5
71,-200.0,-0.4,-0.4
72,-200.0,-0.6,-0.5
73,-200.0,-0.3,-0.2
74,-200.0,-0.3,-0.3
75,-200.0,-0.2,-0.2
76,-200.0,-0.5,-0.1
77,-200.0,-0.2,-0.0
78,-200.0,0.0,-0.0
79,-200.0,-1.1,-0.0
80,-200.0,-0.6,-0.2
81,-200.0,-1.0,-0.0
82,-200.0,-0.0,-0.0
83,-200.0,-0.8,-0.1
84,-200.0,-0.8,-0.1
85,-200.0,-0.9,-0.0
86,-200.0,-0.4,-0.1
87,-200.0,-0.2,-0.2
88,-200.0,-0.4,-0.2
89,-200.0,-0.7,-0.0
90,-200.0,-0.1,-0.0
91,-200.0,-0.4,-0.0
92,-200.0,-0.9,-0.1
93,-200.0,-0.6,-0.0
94,-200.0,-0.9,-0.1
95,-200.0,-0.9,-0.1
96,-200.0,-0.2,-0.1
