Episode,"Reward, FinalPosition",MaxPosition
0,-200.0,-0.4,-0.4
1,-200.0,-1.0,0.1
2,-194.0,0.5,0.5
3,-200.0,0.2,0.2
4,-200.0,-0.5,-0.4
5,-200.0,-0.5,-0.4
6,-200.0,0.5,0.5
7,-200.0,0.1,0.2
8,-200.0,-0.5,-0.4
9,-200.0,-0.5,-0.4
10,-125.0,0.5,0.5
11,-128.0,0.5,0.5
12,-152.0,0.5,0.5
13,-200.0,0.1,0.2
14,-195.0,0.5,0.5
15,-200.0,0.5,0.5
16,-200.0,-0.4,-0.4
17,-200.0,-0.5,-0.4
18,-200.0,-0.5,-0.4
19,-200.0,0.5,0.5
20,-200.0,-1.2,0.1
21,-200.0,0.2,0.2
22,-200.0,0.1,0.2
23,-195.0,0.5,0.5
24,-200.0,-0.0,0.2
25,-195.0,0.5,0.5
26,-200.0,-0.7,0.1
27,-200.0,0.5,0.5
28,-200.0,-1.0,0.1
29,-200.0,0.2,0.2
30,-200.0,0.2,0.2
31,-126.0,0.5,0.5
32,-151.0,0.5,0.5
33,-196.0,0.5,0.5
34,-124.0,0.5,0.5
35,-165.0,0.5,0.5
36,-200.0,-0.5,-0.4
37,-152.0,0.5,0.5
38,-200.0,0.2,0.2
39,-152.0,0.5,0.5
40,-200.0,-0.4,-0.4
41,-128.0,0.5,0.5
42,-200.0,0.3,0.3
43,-152.0,0.5,0.5
44,-194.0,0.5,0.5
45,-152.0,0.5,0.5
46,-198.0,0.5,0.5
47,-197.0,0.5,0.5
48,-200.0,-0.2,0.3
49,-150.0,0.5,0.5
50,-127.0,0.5,0.5
51,-194.0,0.5,0.5
52,-200.0,0.3,0.3
53,-200.0,0.2,0.2
54,-195.0,0.5,0.5
55,-135.0,0.5,0.5
56,-200.0,0.1,0.2
57,-126.0,0.5,0.5
58,-127.0,0.5,0.5
59,-200.0,0.0,0.2
60,-193.0,0.5,0.5
61,-200.0,0.1,0.2
62,-152.0,0.5,0.5
63,-153.0,0.5,0.5
64,-200.0,-0.4,-0.3
65,-195.0,0.5,0.5
66,-200.0,-0.2,-0.2
67,-200.0,-0.5,-0.4
68,-200.0,0.0,0.2
69,-200.0,-1.2,0.1
70,-200.0,0.0,0.2
71,-152.0,0.5,0.5
72,-200.0,-0.4,-0.4
73,-196.0,0.5,0.5
74,-197.0,0.5,0.5
75,-200.0,0.2,0.2
76,-198.0,0.5,0.5
77,-200.0,0.5,0.5
78,-200.0,-1.0,0.1
79,-200.0,0.2,0.2
80,-200.0,-0.7,0.1
81,-200.0,-0.5,-0.4
82,-199.0,0.5,0.5
83,-153.0,0.5,0.5
84,-124.0,0.5,0.5
85,-199.0,0.5,0.5
86,-127.0,0.5,0.5
87,-194.0,0.5,0.5
88,-137.0,0.5,0.5
89,-125.0,0.5,0.5
90,-129.0,0.5,0.5
91,-200.0,0.5,0.5
92,-200.0,-1.0,0.1
93,-200.0,0.2,0.2
94,-155.0,0.5,0.5
95,-200.0,0.5,0.5
96,-152.0,0.5,0.5
97,-152.0,0.5,0.5
98,-198.0,0.5,0.5
99,-138.0,0.5,0.5
