Episode,"Reward, FinalPosition",MaxPosition
0,-200.0,-0.7,0.3
1,-146.0,0.5,0.5
2,-147.0,0.5,0.5
3,-148.0,0.5,0.5
4,-146.0,0.5,0.5
5,-147.0,0.5,0.5
6,-137.0,0.5,0.5
7,-136.0,0.5,0.5
8,-145.0,0.5,0.5
9,-136.0,0.5,0.5
10,-149.0,0.5,0.5
11,-144.0,0.5,0.5
12,-144.0,0.5,0.5
13,-146.0,0.5,0.5
14,-200.0,-0.7,0.3
15,-144.0,0.5,0.5
16,-134.0,0.5,0.5
17,-152.0,0.5,0.5
18,-151.0,0.5,0.5
19,-144.0,0.5,0.5
20,-145.0,0.5,0.5
21,-147.0,0.5,0.5
22,-145.0,0.5,0.5
23,-146.0,0.5,0.5
24,-146.0,0.5,0.5
25,-149.0,0.5,0.5
26,-145.0,0.5,0.5
27,-146.0,0.5,0.5
28,-146.0,0.5,0.5
29,-145.0,0.5,0.5
30,-200.0,-0.6,0.3
31,-147.0,0.5,0.5
32,-147.0,0.5,0.5
33,-137.0,0.5,0.5
34,-144.0,0.5,0.5
35,-136.0,0.5,0.5
36,-137.0,0.5,0.5
37,-143.0,0.5,0.5
38,-145.0,0.5,0.5
39,-145.0,0.5,0.5
40,-200.0,-0.7,0.4
41,-145.0,0.5,0.5
42,-147.0,0.5,0.5
43,-136.0,0.5,0.5
44,-145.0,0.5,0.5
45,-144.0,0.5,0.5
46,-151.0,0.5,0.5
47,-145.0,0.5,0.5
48,-145.0,0.5,0.5
49,-147.0,0.5,0.5
50,-145.0,0.5,0.5
51,-145.0,0.5,0.5
52,-145.0,0.5,0.5
53,-134.0,0.5,0.5
54,-148.0,0.5,0.5
55,-144.0,0.5,0.5
56,-151.0,0.5,0.5
57,-146.0,0.5,0.5
58,-149.0,0.5,0.5
59,-145.0,0.5,0.5
60,-145.0,0.5,0.5
61,-147.0,0.5,0.5
62,-144.0,0.5,0.5
63,-136.0,0.5,0.5
64,-136.0,0.5,0.5
65,-200.0,-0.7,0.3
66,-145.0,0.5,0.5
67,-148.0,0.5,0.5
68,-143.0,0.5,0.5
69,-152.0,0.5,0.5
70,-148.0,0.5,0.5
71,-137.0,0.5,0.5
72,-143.0,0.5,0.5
73,-146.0,0.5,0.5
74,-146.0,0.5,0.5
75,-137.0,0.5,0.5
76,-148.0,0.5,0.5
77,-146.0,0.5,0.5
78,-148.0,0.5,0.5
79,-152.0,0.5,0.5
80,-134.0,0.5,0.5
81,-148.0,0.5,0.5
82,-145.0,0.5,0.5
83,-145.0,0.5,0.5
84,-145.0,0.5,0.5
85,-200.0,-0.6,0.3
86,-147.0,0.5,0.5
87,-144.0,0.5,0.5
88,-147.0,0.5,0.5
89,-146.0,0.5,0.5
90,-200.0,-0.7,0.3
91,-200.0,-0.6,0.3
92,-145.0,0.5,0.5
93,-136.0,0.5,0.5
94,-145.0,0.5,0.5
95,-145.0,0.5,0.5
96,-137.0,0.5,0.5
97,-137.0,0.5,0.5
98,-137.0,0.5,0.5
99,-145.0,0.5,0.5
