Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.5,-0.5
1,-200.0,-0.5,-0.4
2,-200.0,-0.6,-0.4
3,-200.0,-0.5,-0.4
4,-200.0,-0.4,-0.4
5,-200.0,-0.6,-0.4
6,-200.0,-0.5,-0.4
7,-200.0,-0.7,-0.4
8,-200.0,-0.6,-0.5
9,-200.0,-0.4,-0.3
10,-200.0,-0.6,-0.3
11,-200.0,-0.6,-0.2
12,-200.0,-0.6,-0.4
13,-200.0,-0.5,-0.4
14,-200.0,-0.5,-0.3
15,-200.0,-0.5,-0.2
16,-200.0,-0.5,-0.3
17,-200.0,-0.3,-0.3
18,-200.0,-0.6,-0.4
19,-200.0,-0.5,-0.5
20,-200.0,-0.5,-0.5
21,-200.0,-0.6,-0.4
22,-200.0,-0.5,-0.4
23,-200.0,-0.5,-0.4
24,-200.0,-0.5,-0.5
25,-200.0,-0.5,-0.4
26,-200.0,-0.6,-0.5
27,-200.0,-0.6,-0.3
28,-200.0,-0.7,-0.4
29,-200.0,-0.4,-0.3
30,-200.0,-0.6,-0.4
31,-200.0,-0.5,-0.3
32,-200.0,-0.4,-0.4
33,-200.0,-0.6,-0.4
34,-200.0,-0.5,-0.4
35,-200.0,-0.6,-0.4
36,-200.0,-0.5,-0.5
37,-200.0,-0.6,-0.4
38,-200.0,-0.4,-0.4
39,-200.0,-0.8,-0.3
40,-200.0,-0.5,-0.1
41,-200.0,-0.5,-0.3
42,-200.0,-0.3,-0.3
43,-200.0,-0.6,-0.3
44,-200.0,-0.4,-0.3
45,-200.0,-0.5,-0.2
46,-200.0,-0.3,-0.3
47,-200.0,-0.5,-0.5
48,-200.0,-0.5,-0.4
49,-200.0,-0.5,-0.4
50,-200.0,-0.5,-0.4
51,-200.0,-0.6,-0.5
52,-200.0,-0.4,-0.4
53,-200.0,-0.4,-0.4
54,-200.0,-0.6,-0.3
55,-200.0,-0.6,-0.4
56,-200.0,-0.5,-0.5
57,-200.0,-0.5,-0.5
58,-200.0,-0.6,-0.3
59,-200.0,-0.5,-0.5
60,-200.0,-0.5,-0.5
61,-200.0,-0.6,-0.4
62,-200.0,-0.4,-0.3
63,-200.0,-0.4,-0.4
64,-200.0,-0.6,-0.5
65,-200.0,-0.4,-0.4
66,-200.0,-0.4,-0.4
67,-200.0,-0.5,-0.4
68,-200.0,-0.6,-0.5
69,-200.0,-0.5,-0.5
70,-200.0,-0.5,-0.4
71,-200.0,-0.5,-0.4
72,-200.0,-0.4,-0.4
73,-200.0,-0.6,-0.4
74,-200.0,-0.7,-0.4
75,-200.0,-0.4,-0.4
76,-200.0,-0.6,-0.5
77,-200.0,-0.6,-0.4
78,-200.0,-0.5,-0.4
79,-200.0,-0.4,-0.4
80,-200.0,-0.6,-0.5
81,-200.0,-0.5,-0.4
82,-200.0,-0.5,-0.5
83,-200.0,-0.5,-0.4
84,-200.0,-0.6,-0.5
85,-200.0,-0.3,-0.3
86,-200.0,-0.6,-0.4
87,-200.0,-0.5,-0.3
88,-200.0,-0.5,-0.3
89,-200.0,-0.4,-0.3
90,-200.0,-0.5,-0.4
91,-200.0,-0.4,-0.4
92,-200.0,-0.2,-0.2
93,-200.0,-0.5,-0.4
94,-200.0,-0.6,-0.4
95,-200.0,-0.7,-0.1
96,-200.0,-0.5,-0.4
97,-200.0,-0.5,-0.4
98,-200.0,-0.4,-0.4
99,-200.0,-0.8,-0.3
100,-200.0,-0.7,-0.3
101,-200.0,-0.6,-0.3
102,-200.0,-0.5,-0.4
103,-200.0,-0.5,-0.4
104,-200.0,-0.4,-0.4
105,-200.0,-0.5,-0.4
106,-200.0,-0.6,-0.5
107,-200.0,-0.5,-0.4
108,-200.0,-0.6,-0.3
109,-200.0,-0.6,-0.3
110,-200.0,-0.6,-0.4
111,-200.0,-0.6,-0.4
112,-200.0,-0.4,-0.4
113,-200.0,-0.5,-0.4
114,-200.0,-0.2,-0.2
115,-200.0,-0.4,-0.3
116,-200.0,-0.7,-0.3
117,-200.0,-0.7,-0.4
118,-200.0,-0.6,-0.5
119,-200.0,-0.6,-0.4
120,-200.0,-0.6,-0.4
121,-200.0,-0.7,-0.3
122,-200.0,-0.5,-0.2
123,-200.0,-0.4,-0.4
124,-200.0,-0.4,-0.4
125,-200.0,-0.5,-0.5
126,-200.0,-0.5,-0.5
127,-200.0,-0.5,-0.4
128,-200.0,-0.7,-0.4
129,-200.0,-0.4,-0.4
130,-200.0,-0.5,-0.4
131,-200.0,-0.5,-0.4
132,-200.0,-0.5,-0.4
133,-200.0,-0.4,-0.4
134,-200.0,-0.5,-0.4
135,-200.0,-0.5,-0.4
136,-200.0,-0.5,-0.4
137,-200.0,-0.5,-0.4
138,-200.0,-0.7,-0.4
139,-200.0,-0.5,-0.4
140,-200.0,-0.5,-0.4
141,-200.0,-0.4,-0.4
142,-200.0,-0.7,-0.4
143,-200.0,-0.5,-0.4
144,-200.0,-0.5,-0.5
145,-200.0,-0.4,-0.3
146,-200.0,-0.4,-0.3
147,-200.0,-0.5,-0.4
148,-200.0,-0.5,-0.4
149,-200.0,-0.6,-0.3
150,-200.0,-0.5,-0.4
151,-200.0,-0.5,-0.5
152,-200.0,-0.5,-0.5
153,-200.0,-0.6,-0.4
154,-200.0,-0.6,-0.4
155,-200.0,-0.5,-0.5
156,-200.0,-0.7,-0.4
157,-200.0,-0.5,-0.4
158,-200.0,-0.6,-0.5
159,-200.0,-0.5,-0.5
160,-200.0,-0.5,-0.4
161,-200.0,-0.4,-0.3
162,-200.0,-0.4,-0.4
163,-200.0,-0.5,-0.3
164,-200.0,-0.4,-0.4
165,-200.0,-0.5,-0.4
166,-200.0,-0.4,-0.4
167,-200.0,-0.4,-0.4
168,-200.0,-0.5,-0.4
169,-200.0,-0.5,-0.5
170,-200.0,-0.5,-0.5
171,-200.0,-0.5,-0.4
172,-200.0,-0.5,-0.5
173,-200.0,-0.5,-0.3
174,-200.0,-0.4,-0.4
175,-200.0,-0.4,-0.4
176,-200.0,-0.5,-0.4
177,-200.0,-0.5,-0.4
178,-200.0,-0.6,-0.3
179,-200.0,-0.6,-0.3
180,-200.0,-0.5,-0.3
181,-200.0,-0.5,-0.4
182,-200.0,-0.5,-0.5
183,-200.0,-0.5,-0.5
184,-200.0,-0.5,-0.5
185,-200.0,-0.5,-0.4
186,-200.0,-0.4,-0.4
187,-200.0,-0.5,-0.5
188,-200.0,-0.3,-0.3
189,-200.0,-0.4,-0.4
190,-200.0,-0.6,-0.5
191,-200.0,-0.6,-0.5
192,-200.0,-0.4,-0.3
193,-200.0,-0.4,-0.3
194,-200.0,-0.6,-0.4
195,-200.0,-0.5,-0.5
196,-200.0,-0.4,-0.4
197,-200.0,-0.6,-0.4
198,-200.0,-0.5,-0.4
199,-200.0,-0.5,-0.4
200,-200.0,-0.5,-0.4
201,-200.0,-0.4,-0.4
202,-200.0,-0.6,-0.4
203,-200.0,-0.5,-0.4
204,-200.0,-0.6,-0.5
205,-200.0,-0.6,-0.4
206,-200.0,-0.2,-0.1
207,-200.0,-0.4,-0.4
208,-200.0,-0.5,-0.5
209,-200.0,-0.5,-0.5
210,-200.0,-0.9,-0.1
211,-200.0,-0.4,-0.4
212,-200.0,-0.5,-0.4
213,-200.0,-0.5,-0.5
214,-200.0,-0.5,-0.5
215,-200.0,-0.5,-0.4
216,-200.0,-0.2,-0.2
217,-200.0,-0.7,-0.4
218,-200.0,-0.4,-0.4
219,-200.0,-0.5,-0.5
220,-200.0,-0.5,-0.4
221,-200.0,-0.6,-0.4
222,-200.0,-0.6,-0.4
223,-200.0,-0.6,-0.4
224,-200.0,-0.6,-0.4
225,-200.0,-0.3,-0.2
226,-200.0,-0.5,-0.5
227,-200.0,-0.5,-0.5
228,-200.0,-0.5,-0.4
229,-200.0,-0.9,-0.1
230,-200.0,-0.5,-0.5
231,-200.0,-0.6,-0.4
232,-200.0,-0.4,-0.4
233,-200.0,-0.6,-0.5
234,-200.0,-0.6,-0.4
235,-200.0,-0.5,-0.4
236,-200.0,-0.6,-0.5
237,-200.0,-0.4,-0.4
238,-200.0,-0.5,-0.4
239,-200.0,-0.6,-0.4
240,-200.0,-0.5,-0.4
241,-200.0,-0.4,-0.4
242,-200.0,-0.4,-0.4
243,-200.0,-0.5,-0.4
244,-200.0,-0.5,-0.5
245,-200.0,-0.5,-0.5
246,-200.0,-0.6,-0.3
247,-200.0,-0.5,-0.4
248,-200.0,-0.4,-0.4
249,-200.0,-0.5,-0.5
250,-200.0,-0.6,-0.5
251,-200.0,-0.2,-0.2
252,-200.0,-0.3,-0.3
253,-200.0,-0.4,-0.4
254,-200.0,-0.5,-0.4
255,-200.0,-0.6,-0.5
256,-200.0,-0.5,-0.4
257,-200.0,-0.5,-0.4
258,-200.0,-0.7,-0.4
