Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.6,-0.4
1,-200.0,-0.5,-0.5
2,-200.0,-0.5,-0.4
3,-200.0,-0.6,-0.4
4,-200.0,-0.4,-0.3
5,-200.0,-0.2,-0.2
6,-200.0,-0.5,-0.3
7,-200.0,-0.8,-0.3
8,-200.0,-0.5,-0.5
9,-200.0,-0.7,-0.2
10,-200.0,-0.7,-0.3
11,-200.0,-0.7,-0.3
12,-200.0,-0.2,-0.2
13,-200.0,-0.5,-0.5
14,-200.0,-0.8,-0.2
15,-200.0,-0.9,-0.2
16,-200.0,-0.5,-0.2
17,-200.0,-0.6,-0.2
18,-200.0,-0.5,-0.2
19,-200.0,-0.7,-0.1
20,-200.0,-0.3,-0.1
21,-200.0,-0.5,-0.2
22,-200.0,-0.2,-0.1
23,-200.0,-0.6,-0.3
24,-200.0,-0.6,-0.4
25,-200.0,-0.5,-0.3
26,-200.0,-0.5,-0.4
27,-200.0,-0.5,-0.5
28,-200.0,-0.5,-0.5
29,-200.0,-0.6,-0.2
30,-200.0,-0.5,-0.5
31,-200.0,-0.6,-0.1
32,-200.0,-0.6,-0.1
33,-200.0,-0.9,-0.1
34,-200.0,-0.6,-0.1
35,-200.0,-0.5,-0.3
36,-200.0,-0.3,-0.2
37,-200.0,-0.8,-0.2
38,-200.0,-0.5,-0.3
39,-200.0,-0.8,-0.2
40,-200.0,-0.2,-0.2
41,-200.0,-0.2,-0.2
42,-200.0,-1.1,-0.2
43,-200.0,-0.4,-0.3
44,-200.0,-0.8,-0.2
45,-200.0,-0.6,-0.2
46,-200.0,-1.0,-0.1
47,-200.0,-0.4,-0.2
48,-200.0,-0.9,-0.2
49,-200.0,-0.3,-0.3
50,-200.0,-0.7,-0.1
51,-200.0,-0.9,-0.1
52,-200.0,-0.6,-0.1
53,-200.0,-0.7,-0.0
54,-200.0,-0.5,-0.1
55,-200.0,-0.4,-0.2
56,-200.0,-0.7,-0.3
57,-200.0,-0.5,-0.0
58,-200.0,-0.5,-0.1
59,-200.0,-0.3,-0.3
60,-200.0,-1.1,0.1
61,-200.0,-0.5,-0.5
62,-200.0,-0.5,-0.5
63,-200.0,-0.6,-0.2
64,-200.0,-0.8,-0.0
65,-200.0,-0.4,-0.1
66,-200.0,-0.5,-0.5
67,-200.0,-1.1,-0.1
68,-200.0,-0.3,-0.0
