Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.7,-0.4
1,-200.0,-0.4,-0.4
2,-200.0,-0.5,-0.4
3,-200.0,-0.3,-0.3
4,-200.0,-0.6,-0.4
5,-200.0,-0.4,-0.4
6,-200.0,-0.4,-0.4
7,-200.0,-0.6,-0.4
8,-200.0,-0.4,-0.4
9,-200.0,-0.6,-0.3
10,-200.0,-0.3,-0.3
11,-200.0,-0.4,-0.3
12,-200.0,-0.4,-0.4
13,-200.0,-0.6,-0.4
14,-200.0,-0.6,-0.4
15,-200.0,-0.5,-0.4
16,-200.0,-0.7,-0.3
17,-200.0,-0.7,-0.3
18,-200.0,-0.5,-0.4
19,-200.0,-0.7,-0.4
20,-200.0,-0.4,-0.4
21,-200.0,-0.4,-0.2
22,-200.0,-0.6,-0.4
23,-200.0,-0.4,-0.3
24,-200.0,-0.5,-0.4
25,-200.0,-0.4,-0.3
26,-200.0,-0.3,-0.1
27,-200.0,-0.5,-0.4
28,-200.0,-0.6,-0.3
29,-200.0,-0.5,-0.3
30,-200.0,-0.6,-0.3
31,-200.0,-0.4,-0.2
32,-200.0,-0.5,-0.4
33,-200.0,-0.5,-0.4
34,-200.0,-0.6,-0.4
35,-200.0,-0.5,-0.4
36,-200.0,-0.5,-0.3
37,-200.0,-0.5,-0.5
38,-200.0,-0.3,-0.3
39,-200.0,-0.6,-0.4
40,-200.0,-0.4,-0.4
41,-200.0,-0.7,-0.4
42,-200.0,-0.4,-0.3
43,-200.0,-0.6,-0.4
44,-200.0,-0.4,-0.4
45,-200.0,-0.5,-0.3
46,-200.0,-0.4,-0.3
47,-200.0,-0.7,-0.4
48,-200.0,-0.2,-0.2
49,-200.0,-0.6,-0.5
50,-200.0,-0.5,-0.5
51,-200.0,-0.3,-0.2
52,-200.0,-0.6,-0.3
53,-200.0,-0.6,-0.2
54,-200.0,-0.8,-0.1
55,-200.0,-0.7,-0.3
56,-200.0,-0.7,-0.3
57,-200.0,-0.4,-0.4
58,-200.0,-0.6,-0.4
59,-200.0,-0.5,-0.4
60,-200.0,-0.6,-0.5
61,-200.0,-0.6,-0.4
62,-200.0,-0.4,-0.4
63,-200.0,-0.5,-0.4
64,-200.0,-0.6,-0.4
65,-200.0,-0.5,-0.4
66,-200.0,-0.5,-0.5
67,-200.0,-0.5,-0.4
68,-200.0,-0.6,-0.4
69,-200.0,-0.6,-0.4
70,-200.0,-0.4,-0.4
71,-200.0,-0.5,-0.5
72,-200.0,-0.4,-0.4
73,-200.0,-0.6,-0.2
74,-200.0,-0.7,-0.2
75,-200.0,-0.5,-0.5
76,-200.0,-0.3,-0.3
77,-200.0,-0.4,-0.3
78,-200.0,-0.7,-0.2
79,-200.0,-0.6,-0.5
80,-200.0,-0.4,-0.4
81,-200.0,-0.6,-0.3
82,-200.0,-0.5,-0.4
83,-200.0,-0.6,-0.4
84,-200.0,-0.5,-0.4
85,-200.0,-0.6,-0.5
86,-200.0,-0.4,-0.4
87,-200.0,-0.4,-0.4
88,-200.0,-0.5,-0.5
89,-200.0,-0.3,-0.3
90,-200.0,-0.6,-0.5
91,-200.0,-0.6,-0.3
92,-200.0,-0.6,-0.4
93,-200.0,-0.7,-0.3
94,-200.0,-0.7,-0.4
95,-200.0,-0.5,-0.4
96,-200.0,-0.4,-0.4
97,-200.0,-0.6,-0.3
98,-200.0,-0.6,-0.3
99,-200.0,-0.3,-0.3
100,-200.0,-0.7,-0.2
101,-200.0,-0.9,-0.2
102,-200.0,-0.5,-0.4
103,-200.0,-0.5,-0.4
104,-200.0,-0.5,-0.4
105,-200.0,-0.6,-0.4
106,-200.0,-0.9,-0.1
107,-200.0,-0.7,-0.3
108,-200.0,-0.6,-0.4
109,-200.0,-0.5,-0.4
110,-200.0,-0.4,-0.3
111,-200.0,-0.6,-0.4
112,-200.0,-0.7,-0.3
113,-200.0,-0.5,-0.3
114,-200.0,-0.5,-0.4
115,-200.0,-0.9,-0.1
116,-200.0,-0.5,-0.4
117,-200.0,-0.4,-0.4
118,-200.0,-0.5,-0.5
119,-200.0,-0.9,-0.2
120,-200.0,-0.5,-0.4
121,-200.0,-0.8,-0.2
122,-200.0,-0.6,-0.2
123,-200.0,-0.7,-0.1
124,-200.0,-0.6,-0.2
