Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.6,-0.4
1,-200.0,-0.5,-0.5
2,-200.0,-0.5,-0.3
3,-200.0,-0.7,-0.3
4,-200.0,-0.7,-0.4
5,-200.0,-0.5,-0.4
6,-200.0,-0.5,-0.4
7,-200.0,-0.5,-0.3
8,-200.0,-0.6,-0.4
9,-200.0,-0.4,-0.4
10,-200.0,-0.7,-0.4
11,-200.0,-0.6,-0.4
12,-200.0,-0.5,-0.4
13,-200.0,-0.6,-0.4
14,-200.0,-0.4,-0.4
15,-200.0,-0.5,-0.4
16,-200.0,-0.6,-0.4
17,-200.0,-0.5,-0.4
18,-200.0,-0.5,-0.4
19,-200.0,-0.6,-0.4
20,-200.0,-0.7,-0.3
21,-200.0,-0.5,-0.4
22,-200.0,-0.5,-0.3
23,-200.0,-0.6,-0.4
24,-200.0,-0.4,-0.4
25,-200.0,-0.5,-0.5
26,-200.0,-0.4,-0.4
27,-200.0,-0.4,-0.4
28,-200.0,-0.8,-0.3
29,-200.0,-0.4,-0.4
30,-200.0,-0.4,-0.4
31,-200.0,-0.6,-0.4
32,-200.0,-0.4,-0.4
33,-200.0,-0.5,-0.4
34,-200.0,-0.6,-0.3
35,-200.0,-0.6,-0.3
36,-200.0,-0.6,-0.5
37,-200.0,-0.3,-0.3
38,-200.0,-0.5,-0.3
39,-200.0,-0.5,-0.4
40,-200.0,-0.5,-0.5
41,-200.0,-0.3,-0.3
42,-200.0,-0.5,-0.3
43,-200.0,-0.5,-0.3
44,-200.0,-0.6,-0.4
45,-200.0,-0.5,-0.4
46,-200.0,-0.6,-0.4
47,-200.0,-0.5,-0.4
48,-200.0,-0.3,-0.3
49,-200.0,-0.5,-0.4
50,-200.0,-0.5,-0.4
51,-200.0,-0.6,-0.4
52,-200.0,-0.5,-0.4
53,-200.0,-0.5,-0.3
54,-200.0,-0.6,-0.5
55,-200.0,-0.5,-0.4
56,-200.0,-0.5,-0.4
57,-200.0,-0.4,-0.4
58,-200.0,-0.5,-0.5
59,-200.0,-0.6,-0.5
60,-200.0,-0.5,-0.5
61,-200.0,-0.5,-0.4
62,-200.0,-0.5,-0.5
63,-200.0,-0.4,-0.3
64,-200.0,-0.6,-0.4
65,-200.0,-0.5,-0.5
66,-200.0,-0.5,-0.4
67,-200.0,-0.4,-0.4
68,-200.0,-0.7,-0.4
