Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.5,-0.4
1,-200.0,-0.7,-0.4
2,-200.0,-0.3,-0.3
3,-200.0,-0.4,-0.2
4,-200.0,-0.6,-0.4
5,-200.0,-0.3,-0.2
6,-200.0,-0.5,-0.5
7,-200.0,-0.4,-0.4
8,-200.0,-0.3,-0.3
9,-200.0,-0.5,-0.5
10,-200.0,-0.7,-0.2
11,-200.0,-0.5,-0.5
12,-200.0,-0.6,-0.2
13,-200.0,-0.7,-0.3
14,-200.0,-0.5,-0.3
15,-200.0,-0.6,-0.4
16,-200.0,-0.5,-0.4
17,-200.0,-0.5,-0.4
18,-200.0,-0.6,-0.4
19,-200.0,-0.6,-0.5
20,-200.0,-0.5,-0.4
21,-200.0,-0.6,-0.4
22,-200.0,-0.8,-0.3
23,-200.0,-0.7,-0.3
24,-200.0,-0.4,-0.2
25,-200.0,-0.6,-0.4
26,-200.0,-0.5,-0.5
27,-200.0,-0.5,-0.4
28,-200.0,-0.5,-0.5
29,-200.0,-0.5,-0.5
30,-200.0,-0.5,-0.5
31,-200.0,-0.5,-0.5
32,-200.0,-0.8,-0.3
33,-200.0,-0.4,-0.1
34,-200.0,-0.6,-0.2
35,-200.0,-0.7,-0.0
36,-200.0,-0.9,-0.1
37,-200.0,-0.4,-0.4
38,-200.0,-0.5,-0.4
39,-200.0,-0.5,-0.4
40,-200.0,-0.6,-0.4
41,-200.0,-0.5,-0.5
42,-200.0,-0.5,-0.5
43,-200.0,-0.4,-0.4
44,-200.0,-0.4,-0.4
45,-200.0,-0.5,-0.5
46,-200.0,-0.8,-0.1
47,-200.0,-0.5,-0.4
48,-200.0,-0.5,-0.5
49,-200.0,-0.9,-0.1
50,-200.0,-0.9,-0.2
51,-200.0,-0.1,-0.1
52,-200.0,-0.2,-0.2
53,-200.0,-0.6,-0.2
54,-200.0,-0.5,-0.5
55,-200.0,-0.3,-0.3
56,-200.0,-0.7,-0.4
57,-200.0,-0.7,-0.1
58,-200.0,-0.5,-0.4
59,-200.0,-0.5,-0.4
60,-200.0,-0.5,-0.4
61,-200.0,-0.5,-0.5
62,-200.0,-0.6,-0.3
63,-200.0,-0.5,-0.4
64,-200.0,-0.5,-0.5
65,-200.0,-0.5,-0.4
66,-200.0,-0.5,-0.3
67,-200.0,-0.3,-0.3
68,-200.0,-0.5,-0.5
69,-200.0,-0.6,-0.5
70,-200.0,-0.5,-0.5
71,-200.0,-0.6,-0.5
72,-200.0,-0.4,-0.4
73,-200.0,-0.6,-0.3
74,-200.0,-0.5,-0.5
75,-200.0,-0.5,-0.5
76,-200.0,-0.2,-0.2
77,-200.0,-0.6,-0.1
78,-200.0,-0.5,-0.5
79,-200.0,-0.7,-0.1
80,-200.0,-0.5,-0.5
81,-200.0,-0.5,-0.5
82,-200.0,-0.5,-0.2
83,-200.0,-0.3,-0.2
84,-200.0,-0.6,-0.2
85,-200.0,-0.7,-0.2
86,-200.0,-0.5,-0.4
87,-200.0,-0.3,-0.3
88,-200.0,-0.3,-0.3
89,-200.0,-0.6,-0.4
90,-200.0,-0.5,-0.5
91,-200.0,-0.7,-0.4
92,-200.0,-0.2,-0.2
93,-200.0,-0.2,-0.2
