Episode,"Reward, FinalPosition",MaxPosition
0,-144.0,0.5,0.5
1,-151.0,0.5,0.5
2,-150.0,0.5,0.5
3,-138.0,0.5,0.5
4,-154.0,0.5,0.5
5,-145.0,0.5,0.5
6,-168.0,0.5,0.5
7,-141.0,0.5,0.5
8,-160.0,0.5,0.5
9,-145.0,0.5,0.5
10,-136.0,0.5,0.5
11,-134.0,0.5,0.5
12,-143.0,0.5,0.5
13,-146.0,0.5,0.5
14,-144.0,0.5,0.5
15,-153.0,0.5,0.5
16,-138.0,0.5,0.5
17,-141.0,0.5,0.5
18,-157.0,0.5,0.5
19,-160.0,0.5,0.5
20,-145.0,0.5,0.5
21,-134.0,0.5,0.5
22,-137.0,0.5,0.5
23,-134.0,0.5,0.5
24,-146.0,0.5,0.5
25,-149.0,0.5,0.5
26,-135.0,0.5,0.5
27,-146.0,0.5,0.5
28,-138.0,0.5,0.5
29,-137.0,0.5,0.5
30,-147.0,0.5,0.5
31,-137.0,0.5,0.5
32,-143.0,0.5,0.5
33,-149.0,0.5,0.5
34,-138.0,0.5,0.5
35,-134.0,0.5,0.5
36,-149.0,0.5,0.5
37,-136.0,0.5,0.5
38,-143.0,0.5,0.5
39,-149.0,0.5,0.5
40,-147.0,0.5,0.5
41,-137.0,0.5,0.5
42,-136.0,0.5,0.5
43,-138.0,0.5,0.5
44,-146.0,0.5,0.5
45,-141.0,0.5,0.5
46,-146.0,0.5,0.5
47,-149.0,0.5,0.5
48,-146.0,0.5,0.5
49,-148.0,0.5,0.5
50,-147.0,0.5,0.5
51,-137.0,0.5,0.5
52,-150.0,0.5,0.5
53,-135.0,0.5,0.5
54,-153.0,0.5,0.5
55,-134.0,0.5,0.5
56,-137.0,0.5,0.5
57,-146.0,0.5,0.5
58,-167.0,0.5,0.5
59,-149.0,0.5,0.5
60,-146.0,0.5,0.5
61,-145.0,0.5,0.5
62,-135.0,0.5,0.5
63,-141.0,0.5,0.5
64,-146.0,0.5,0.5
65,-144.0,0.5,0.5
66,-143.0,0.5,0.5
67,-148.0,0.5,0.5
68,-144.0,0.5,0.5
69,-149.0,0.5,0.5
70,-141.0,0.5,0.5
71,-140.0,0.5,0.5
72,-144.0,0.5,0.5
73,-144.0,0.5,0.5
74,-138.0,0.5,0.5
75,-137.0,0.5,0.5
76,-150.0,0.5,0.5
77,-146.0,0.5,0.5
78,-144.0,0.5,0.5
79,-134.0,0.5,0.5
80,-135.0,0.5,0.5
81,-141.0,0.5,0.5
82,-147.0,0.5,0.5
83,-147.0,0.5,0.5
84,-138.0,0.5,0.5
85,-152.0,0.5,0.5
86,-148.0,0.5,0.5
87,-137.0,0.5,0.5
88,-138.0,0.5,0.5
89,-138.0,0.5,0.5
90,-143.0,0.5,0.5
91,-146.0,0.5,0.5
92,-146.0,0.5,0.5
93,-149.0,0.5,0.5
94,-144.0,0.5,0.5
95,-145.0,0.5,0.5
96,-145.0,0.5,0.5
97,-136.0,0.5,0.5
98,-135.0,0.5,0.5
99,-144.0,0.5,0.5
