Episode,"Reward, FinalPosition",MaxPosition
0,-200.0,-0.2,0.1
1,-147.0,0.5,0.5
2,-160.0,0.5,0.5
3,-200.0,-0.2,0.1
4,-150.0,0.5,0.5
5,-149.0,0.5,0.5
6,-155.0,0.5,0.5
7,-148.0,0.5,0.5
8,-154.0,0.5,0.5
9,-145.0,0.5,0.5
10,-148.0,0.5,0.5
11,-155.0,0.5,0.5
12,-150.0,0.5,0.5
13,-145.0,0.5,0.5
14,-156.0,0.5,0.5
15,-155.0,0.5,0.5
16,-200.0,0.1,0.1
17,-200.0,-0.2,0.1
18,-160.0,0.5,0.5
19,-200.0,0.1,0.1
20,-200.0,-0.0,0.1
21,-157.0,0.5,0.5
22,-157.0,0.5,0.5
23,-155.0,0.5,0.5
24,-145.0,0.5,0.5
25,-200.0,-0.0,0.1
26,-154.0,0.5,0.5
27,-150.0,0.5,0.5
28,-157.0,0.5,0.5
29,-155.0,0.5,0.5
30,-147.0,0.5,0.5
31,-200.0,0.0,0.1
32,-147.0,0.5,0.5
33,-160.0,0.5,0.5
34,-200.0,-0.2,0.1
35,-144.0,0.5,0.5
36,-154.0,0.5,0.5
37,-148.0,0.5,0.5
38,-147.0,0.5,0.5
39,-156.0,0.5,0.5
40,-160.0,0.5,0.5
41,-144.0,0.5,0.5
42,-155.0,0.5,0.5
43,-200.0,-0.2,0.1
44,-200.0,-0.1,0.2
45,-154.0,0.5,0.5
46,-150.0,0.5,0.5
47,-155.0,0.5,0.5
48,-155.0,0.5,0.5
49,-200.0,0.1,0.1
50,-200.0,-0.0,0.1
51,-156.0,0.5,0.5
52,-160.0,0.5,0.5
53,-155.0,0.5,0.5
54,-200.0,-0.0,0.1
55,-145.0,0.5,0.5
56,-147.0,0.5,0.5
57,-145.0,0.5,0.5
58,-155.0,0.5,0.5
59,-157.0,0.5,0.5
60,-145.0,0.5,0.5
61,-200.0,0.0,0.1
62,-146.0,0.5,0.5
63,-145.0,0.5,0.5
64,-154.0,0.5,0.5
65,-148.0,0.5,0.5
66,-147.0,0.5,0.5
67,-159.0,0.5,0.5
68,-147.0,0.5,0.5
69,-155.0,0.5,0.5
70,-145.0,0.5,0.5
71,-145.0,0.5,0.5
72,-145.0,0.5,0.5
73,-147.0,0.5,0.5
74,-155.0,0.5,0.5
75,-200.0,-0.1,0.1
76,-157.0,0.5,0.5
77,-200.0,0.1,0.1
78,-146.0,0.5,0.5
79,-150.0,0.5,0.5
80,-148.0,0.5,0.5
81,-145.0,0.5,0.5
82,-200.0,0.1,0.1
83,-155.0,0.5,0.5
84,-162.0,0.5,0.5
85,-200.0,-0.0,0.1
86,-150.0,0.5,0.5
87,-150.0,0.5,0.5
88,-155.0,0.5,0.5
89,-154.0,0.5,0.5
90,-160.0,0.5,0.5
91,-148.0,0.5,0.5
92,-147.0,0.5,0.5
93,-154.0,0.5,0.5
94,-158.0,0.5,0.5
95,-147.0,0.5,0.5
96,-159.0,0.5,0.5
97,-155.0,0.5,0.5
98,-200.0,-0.1,0.2
99,-162.0,0.5,0.5
