Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.5,-0.4
1,-200.0,-0.4,-0.4
2,-200.0,-0.4,-0.4
3,-200.0,-0.4,-0.4
4,-200.0,-0.7,-0.4
5,-200.0,-0.6,-0.4
6,-200.0,-0.5,-0.3
7,-200.0,-0.6,-0.3
8,-200.0,-0.3,-0.2
9,-200.0,-0.5,-0.3
10,-200.0,-0.8,-0.2
11,-200.0,-0.8,-0.3
12,-200.0,-0.6,-0.3
13,-200.0,-0.7,-0.4
14,-200.0,-0.7,-0.4
15,-200.0,-0.4,-0.4
16,-200.0,-0.3,-0.3
17,-200.0,-0.8,-0.2
18,-200.0,-0.6,-0.2
19,-200.0,-0.5,-0.4
20,-200.0,-0.6,-0.4
21,-200.0,-0.6,-0.4
22,-200.0,-0.5,-0.5
23,-200.0,-0.3,-0.3
24,-200.0,-0.4,-0.3
25,-200.0,-0.4,-0.3
26,-200.0,-0.5,-0.5
27,-200.0,-0.3,-0.2
28,-200.0,-0.5,-0.3
29,-200.0,-0.5,-0.2
30,-200.0,-0.8,-0.3
31,-200.0,-0.4,-0.2
32,-200.0,-0.6,-0.3
33,-200.0,-0.7,-0.3
34,-200.0,-0.6,-0.3
35,-200.0,-0.5,-0.3
36,-200.0,-0.4,-0.3
37,-200.0,-0.5,-0.4
38,-200.0,-0.8,-0.2
39,-200.0,-0.6,-0.5
40,-200.0,-0.5,-0.4
41,-200.0,-0.6,-0.3
42,-200.0,-0.8,-0.2
43,-200.0,-0.8,-0.1
44,-200.0,-0.4,-0.4
45,-200.0,-0.7,-0.2
46,-200.0,-0.6,-0.2
47,-200.0,-0.4,-0.1
48,-200.0,-0.3,-0.3
49,-200.0,-0.8,-0.3
50,-200.0,-0.2,-0.2
51,-200.0,-0.5,-0.4
52,-200.0,-0.7,-0.4
53,-200.0,-0.8,-0.3
54,-200.0,-0.7,-0.3
55,-200.0,-0.8,-0.2
56,-200.0,-0.2,-0.2
57,-200.0,-0.6,-0.2
58,-200.0,-0.4,-0.3
59,-200.0,-0.6,-0.4
60,-200.0,-0.4,-0.3
61,-200.0,-0.3,-0.3
62,-200.0,-0.4,-0.4
63,-200.0,-0.7,-0.0
64,-200.0,-0.5,-0.3
65,-200.0,-0.2,-0.2
66,-200.0,-0.4,-0.3
67,-200.0,-0.6,-0.4
68,-200.0,-0.5,-0.4
69,-200.0,-0.4,-0.4
70,-200.0,-0.7,-0.2
71,-200.0,-0.4,-0.4
72,-200.0,-0.9,-0.3
73,-200.0,-0.4,-0.3
74,-200.0,-0.9,-0.2
75,-200.0,-0.7,-0.3
76,-200.0,-0.6,-0.3
77,-200.0,-0.4,-0.4
78,-200.0,-0.3,-0.3
79,-200.0,-0.6,-0.3
80,-200.0,-0.6,-0.3
81,-200.0,-0.3,-0.3
