Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.7,-0.2
1,-200.0,-0.5,-0.5
2,-200.0,-0.7,-0.4
3,-200.0,-0.3,-0.3
4,-200.0,-0.4,-0.4
5,-200.0,-0.3,-0.3
6,-200.0,-0.5,-0.4
7,-200.0,-0.4,-0.4
8,-200.0,-0.6,-0.4
9,-200.0,-0.6,-0.3
10,-200.0,-0.5,-0.4
11,-200.0,-0.6,-0.4
12,-200.0,-0.4,-0.4
13,-200.0,-0.5,-0.5
14,-200.0,-0.5,-0.3
15,-200.0,-0.4,-0.3
16,-200.0,-0.3,-0.3
17,-200.0,-0.6,-0.2
18,-200.0,-0.5,-0.3
19,-200.0,-0.5,-0.5
20,-200.0,-0.7,-0.2
21,-200.0,-0.7,-0.2
22,-200.0,-0.4,-0.3
23,-200.0,-0.5,-0.3
24,-200.0,-0.5,-0.4
25,-200.0,-0.4,-0.4
26,-200.0,-0.5,-0.4
27,-200.0,-0.6,-0.3
28,-200.0,-0.6,-0.4
29,-200.0,-0.3,-0.3
30,-200.0,-0.4,-0.4
31,-200.0,-0.5,-0.3
32,-200.0,-0.5,-0.3
33,-200.0,-0.7,-0.3
34,-200.0,-0.6,-0.3
35,-200.0,-0.4,-0.3
36,-200.0,-0.6,-0.5
37,-200.0,-0.4,-0.3
38,-200.0,-0.5,-0.4
39,-200.0,-0.3,-0.3
40,-200.0,-0.4,-0.4
41,-200.0,-0.7,-0.4
42,-200.0,-0.6,-0.4
43,-200.0,-0.7,-0.3
44,-200.0,-0.7,-0.3
45,-200.0,-0.7,-0.3
46,-200.0,-0.3,-0.3
47,-200.0,-0.6,-0.3
48,-200.0,-0.5,-0.4
49,-200.0,-0.7,-0.4
50,-200.0,-0.5,-0.4
51,-200.0,-0.7,-0.4
52,-200.0,-0.6,-0.4
53,-200.0,-0.5,-0.4
54,-200.0,-0.4,-0.2
55,-200.0,-0.5,-0.2
56,-200.0,-0.4,-0.3
57,-200.0,-0.6,-0.3
58,-200.0,-0.6,-0.4
59,-200.0,-0.3,-0.3
60,-200.0,-0.8,-0.1
61,-200.0,-0.6,-0.2
62,-200.0,-0.5,-0.2
63,-200.0,-0.7,-0.3
64,-200.0,-0.5,-0.3
65,-200.0,-0.5,-0.4
66,-200.0,-0.5,-0.5
67,-200.0,-0.6,-0.2
68,-200.0,-0.6,-0.3
69,-200.0,-0.6,-0.2
70,-200.0,-0.5,-0.4
71,-200.0,-0.4,-0.4
72,-200.0,-0.7,-0.4
73,-200.0,-0.5,-0.4
74,-200.0,-0.5,-0.3
75,-200.0,-0.7,-0.3
76,-200.0,-0.8,-0.4
77,-200.0,-0.7,-0.4
78,-200.0,-0.3,-0.3
79,-200.0,-0.4,-0.4
80,-200.0,-0.7,-0.4
81,-200.0,-0.5,-0.4
82,-200.0,-0.5,-0.4
83,-200.0,-0.5,-0.4
84,-200.0,-0.6,-0.4
85,-200.0,-0.6,-0.4
86,-200.0,-0.5,-0.5
87,-200.0,-0.4,-0.4
88,-200.0,-0.4,-0.2
89,-200.0,-0.6,-0.3
90,-200.0,-0.6,-0.5
91,-200.0,-0.7,-0.2
92,-200.0,-0.8,-0.2
93,-200.0,-0.8,-0.3
94,-200.0,-0.5,-0.3
95,-200.0,-0.7,-0.3
96,-200.0,-0.6,-0.5
97,-200.0,-0.7,-0.4
98,-200.0,-0.3,-0.3
99,-200.0,-0.4,-0.4
100,-200.0,-0.4,-0.4
101,-200.0,-0.5,-0.4
102,-200.0,-0.8,-0.3
103,-200.0,-0.7,-0.3
104,-200.0,-0.7,-0.4
105,-200.0,-0.5,-0.4
106,-200.0,-0.5,-0.5
107,-200.0,-0.4,-0.4
108,-200.0,-0.5,-0.3
109,-200.0,-0.7,-0.2
110,-200.0,-0.3,-0.3
111,-200.0,-0.2,-0.2
112,-200.0,-0.4,-0.3
113,-200.0,-0.5,-0.2
114,-200.0,-0.6,-0.4
115,-200.0,-0.3,-0.3
116,-200.0,-0.5,-0.4
117,-200.0,-0.7,-0.3
118,-200.0,-0.6,-0.4
119,-200.0,-0.4,-0.3
120,-200.0,-0.4,-0.3
121,-200.0,-0.5,-0.5
122,-200.0,-0.6,-0.4
123,-200.0,-0.4,-0.4
124,-200.0,-0.4,-0.4
125,-200.0,-0.6,-0.2
126,-200.0,-0.5,-0.5
127,-200.0,-0.6,-0.2
128,-200.0,-0.5,-0.3
129,-200.0,-0.5,-0.4
130,-200.0,-0.5,-0.4
131,-200.0,-0.4,-0.4
132,-200.0,-0.6,-0.4
133,-200.0,-0.6,-0.3
134,-200.0,-0.4,-0.3
135,-200.0,-0.5,-0.2
136,-200.0,-0.2,-0.2
137,-200.0,-0.8,-0.3
138,-200.0,-0.4,-0.3
139,-200.0,-0.6,-0.4
140,-200.0,-1.0,-0.1
141,-200.0,-0.4,-0.3
142,-200.0,-0.5,-0.5
143,-200.0,-0.6,-0.4
144,-200.0,-0.6,-0.4
145,-200.0,-0.4,-0.3
146,-200.0,-0.5,-0.4
147,-200.0,-0.4,-0.4
148,-200.0,-0.2,-0.2
149,-200.0,-0.7,-0.4
150,-200.0,-0.5,-0.4
151,-200.0,-0.4,-0.4
152,-200.0,-0.7,-0.2
153,-200.0,-0.8,-0.2
154,-200.0,-0.5,-0.5
155,-200.0,-0.5,-0.1
156,-200.0,-0.4,-0.2
157,-200.0,-0.8,-0.3
158,-200.0,-0.3,-0.3
159,-200.0,-0.2,-0.2
160,-200.0,-0.3,-0.3
161,-200.0,-0.3,-0.3
162,-200.0,-0.5,-0.3
163,-200.0,-0.2,-0.1
164,-200.0,-0.7,-0.4
165,-200.0,-0.4,-0.4
166,-200.0,-0.3,-0.3
167,-200.0,-0.5,-0.2
168,-200.0,-0.6,-0.3
169,-200.0,-0.4,-0.4
170,-200.0,-0.6,-0.4
171,-200.0,-0.3,-0.3
172,-200.0,-0.6,-0.2
173,-200.0,-0.4,-0.4
174,-200.0,-0.9,-0.2
175,-200.0,-0.4,-0.4
176,-200.0,-0.5,-0.4
177,-200.0,-0.7,-0.3
178,-200.0,-0.5,-0.4
179,-200.0,-0.4,-0.4
180,-200.0,-0.5,-0.1
181,-200.0,-0.8,-0.4
182,-200.0,-0.4,-0.3
183,-200.0,-0.2,-0.1
184,-200.0,-0.4,-0.2
185,-200.0,-0.8,-0.2
186,-200.0,-0.6,-0.3
187,-200.0,-0.6,-0.4
188,-200.0,-0.7,-0.2
189,-200.0,-0.5,-0.5
190,-200.0,-0.5,-0.5
191,-200.0,-0.4,-0.2
192,-200.0,-0.6,-0.5
193,-200.0,-0.7,-0.3
194,-200.0,-0.5,-0.3
195,-200.0,-0.5,-0.3
196,-200.0,-0.5,-0.1
197,-200.0,-0.5,-0.5
198,-200.0,-0.4,-0.4
199,-200.0,-0.5,-0.4
200,-200.0,-0.7,-0.4
201,-200.0,-0.6,-0.4
202,-200.0,-0.5,-0.3
203,-200.0,-0.6,-0.4
204,-200.0,-0.6,-0.4
205,-200.0,-0.7,-0.4
206,-200.0,-0.6,-0.4
207,-200.0,-0.7,-0.3
208,-200.0,-0.3,-0.2
209,-200.0,-0.1,-0.1
210,-200.0,-0.6,-0.5
211,-200.0,-0.6,-0.4
212,-200.0,-0.5,-0.4
213,-200.0,-0.5,-0.5
214,-200.0,-0.4,-0.3
215,-200.0,-0.4,-0.3
216,-200.0,-0.3,-0.3
217,-200.0,-0.6,-0.3
218,-200.0,-0.4,-0.1
219,-200.0,-0.7,-0.3
220,-200.0,-0.5,-0.3
221,-200.0,-0.8,-0.3
222,-200.0,-0.6,-0.4
223,-200.0,-0.3,-0.2
224,-200.0,-0.4,-0.4
225,-200.0,-0.6,-0.4
226,-200.0,-0.8,-0.2
227,-200.0,-0.4,-0.3
228,-200.0,-0.6,-0.3
229,-200.0,-0.9,-0.2
230,-200.0,-0.7,-0.3
231,-200.0,-0.8,-0.2
232,-200.0,-0.4,-0.3
233,-200.0,-0.4,-0.4
234,-200.0,-0.5,-0.4
235,-200.0,-0.5,-0.4
236,-200.0,-0.4,-0.3
237,-200.0,-0.3,-0.3
238,-200.0,-0.7,-0.2
239,-200.0,-0.6,-0.4
240,-200.0,-0.4,-0.4
241,-200.0,-0.3,-0.3
242,-200.0,-0.8,-0.3
243,-200.0,-0.1,-0.1
244,-200.0,-0.5,-0.3
245,-200.0,-0.5,-0.4
246,-200.0,-0.3,-0.3
247,-200.0,-0.2,-0.2
248,-200.0,-0.4,-0.3
249,-200.0,-0.7,-0.4
250,-200.0,-0.7,-0.1
251,-200.0,-0.4,-0.2
252,-200.0,-0.3,-0.3
253,-200.0,-0.5,-0.3
254,-200.0,-0.6,-0.3
255,-200.0,-0.4,-0.4
256,-200.0,-0.1,-0.1
257,-200.0,-0.3,-0.3
258,-200.0,-0.5,-0.4
259,-200.0,-0.4,-0.4
260,-200.0,-0.6,-0.4
261,-200.0,-0.6,-0.4
262,-200.0,-0.4,-0.3
263,-200.0,-0.4,-0.3
264,-200.0,-0.6,-0.2
265,-200.0,-0.3,-0.3
266,-200.0,-0.6,-0.4
267,-200.0,-0.5,-0.4
268,-200.0,-0.6,-0.4
269,-200.0,-0.4,-0.4
270,-200.0,-0.8,-0.2
271,-200.0,-0.5,-0.3
272,-200.0,-0.5,-0.4
273,-200.0,-0.5,-0.4
274,-200.0,-0.5,-0.4
275,-200.0,-0.5,-0.2
276,-200.0,-0.3,-0.3
277,-200.0,-0.5,-0.5
278,-200.0,-0.6,-0.5
279,-200.0,-0.5,-0.3
280,-200.0,-0.5,-0.4
281,-200.0,-0.3,-0.3
282,-200.0,-0.4,-0.4
283,-200.0,-0.4,-0.4
284,-200.0,-0.5,-0.5
285,-200.0,-0.5,-0.5
286,-200.0,-0.5,-0.4
287,-200.0,-0.5,-0.5
288,-200.0,-0.5,-0.2
289,-200.0,-0.7,-0.3
290,-200.0,-0.6,-0.2
291,-200.0,-0.6,-0.4
292,-200.0,-0.3,-0.2
293,-200.0,-0.7,-0.2
294,-200.0,-0.6,-0.3
295,-200.0,-0.1,-0.1
296,-200.0,-0.4,-0.3
297,-200.0,-0.6,-0.4
298,-200.0,-0.8,-0.2
299,-200.0,-0.7,-0.3
300,-200.0,-0.5,-0.2
301,-200.0,-0.9,-0.1
302,-200.0,-0.8,-0.2
303,-200.0,-0.4,-0.4
304,-200.0,-0.5,-0.4
305,-200.0,-0.6,-0.4
306,-200.0,-0.6,-0.2
307,-200.0,-0.7,-0.1
308,-200.0,-0.6,-0.4
309,-200.0,-0.3,-0.3
310,-200.0,-0.4,-0.4
311,-200.0,-0.2,-0.1
312,-200.0,-0.6,-0.1
313,-200.0,-0.6,-0.4
