Episode,"Reward, FinalPosition",MaxPosition
0,-149.0,0.5,0.5
1,-200.0,-0.2,0.1
2,-200.0,-1.2,0.3
3,-200.0,-0.1,0.2
4,-145.0,0.5,0.5
5,-155.0,0.5,0.5
6,-200.0,-0.1,0.1
7,-200.0,-0.1,0.1
8,-200.0,-0.1,0.1
9,-154.0,0.5,0.5
10,-200.0,-0.6,0.2
11,-154.0,0.5,0.5
12,-157.0,0.5,0.5
13,-200.0,-0.0,0.1
14,-146.0,0.5,0.5
15,-200.0,0.1,0.1
16,-200.0,0.2,0.2
17,-200.0,0.3,0.3
18,-154.0,0.5,0.5
19,-200.0,-0.0,0.1
20,-200.0,-0.1,0.1
21,-200.0,0.2,0.2
22,-146.0,0.5,0.5
23,-200.0,-0.1,0.2
24,-200.0,-0.1,0.1
25,-154.0,0.5,0.5
26,-147.0,0.5,0.5
27,-148.0,0.5,0.5
28,-147.0,0.5,0.5
29,-154.0,0.5,0.5
30,-155.0,0.5,0.5
31,-200.0,0.4,0.4
32,-146.0,0.5,0.5
33,-200.0,0.0,0.1
34,-200.0,0.3,0.3
35,-200.0,-0.5,0.1
36,-158.0,0.5,0.5
37,-200.0,0.4,0.4
38,-165.0,0.5,0.5
39,-162.0,0.5,0.5
40,-155.0,0.5,0.5
41,-149.0,0.5,0.5
42,-150.0,0.5,0.5
43,-155.0,0.5,0.5
44,-200.0,-0.3,0.2
45,-200.0,-0.2,0.1
46,-200.0,-0.0,0.1
47,-146.0,0.5,0.5
48,-149.0,0.5,0.5
49,-145.0,0.5,0.5
50,-200.0,0.2,0.2
51,-200.0,-0.2,0.2
52,-143.0,0.5,0.5
53,-149.0,0.5,0.5
54,-146.0,0.5,0.5
55,-150.0,0.5,0.5
56,-146.0,0.5,0.5
57,-147.0,0.5,0.5
58,-200.0,0.3,0.3
59,-200.0,0.0,0.1
60,-200.0,-0.1,0.1
61,-200.0,-0.1,0.2
62,-150.0,0.5,0.5
63,-200.0,0.4,0.4
64,-155.0,0.5,0.5
65,-146.0,0.5,0.5
66,-200.0,0.2,0.2
67,-200.0,0.2,0.2
68,-159.0,0.5,0.5
69,-200.0,-0.0,0.1
70,-150.0,0.5,0.5
71,-164.0,0.5,0.5
72,-145.0,0.5,0.5
73,-155.0,0.5,0.5
74,-146.0,0.5,0.5
75,-163.0,0.5,0.5
76,-158.0,0.5,0.5
77,-200.0,-0.1,0.1
78,-149.0,0.5,0.5
79,-200.0,-1.1,0.3
80,-146.0,0.5,0.5
81,-155.0,0.5,0.5
82,-153.0,0.5,0.5
83,-200.0,-0.4,0.1
84,-200.0,-0.1,0.1
85,-147.0,0.5,0.5
86,-158.0,0.5,0.5
87,-150.0,0.5,0.5
88,-155.0,0.5,0.5
89,-200.0,0.4,0.4
90,-145.0,0.5,0.5
91,-200.0,-0.1,0.1
92,-200.0,-0.1,0.1
93,-165.0,0.5,0.5
94,-155.0,0.5,0.5
95,-200.0,-0.6,0.2
96,-200.0,-0.1,0.1
97,-200.0,0.3,0.3
98,-154.0,0.5,0.5
99,-200.0,0.2,0.2
