Episode,"Reward, FinalPosition",MaxPosition
0,-137.0,0.5,0.5
1,-147.0,0.5,0.5
2,-139.0,0.5,0.5
3,-152.0,0.5,0.5
4,-155.0,0.5,0.5
5,-149.0,0.5,0.5
6,-152.0,0.5,0.5
7,-151.0,0.5,0.5
8,-155.0,0.5,0.5
9,-138.0,0.5,0.5
10,-147.0,0.5,0.5
11,-143.0,0.5,0.5
12,-150.0,0.5,0.5
13,-143.0,0.5,0.5
14,-152.0,0.5,0.5
15,-143.0,0.5,0.5
16,-146.0,0.5,0.5
17,-154.0,0.5,0.5
18,-143.0,0.5,0.5
19,-153.0,0.5,0.5
20,-138.0,0.5,0.5
21,-153.0,0.5,0.5
22,-146.0,0.5,0.5
23,-154.0,0.5,0.5
24,-147.0,0.5,0.5
25,-141.0,0.5,0.5
26,-144.0,0.5,0.5
27,-141.0,0.5,0.5
28,-140.0,0.5,0.5
29,-141.0,0.5,0.5
30,-156.0,0.5,0.5
31,-200.0,-0.2,-0.0
32,-151.0,0.5,0.5
33,-200.0,-0.2,-0.0
34,-146.0,0.5,0.5
35,-146.0,0.5,0.5
36,-142.0,0.5,0.5
37,-143.0,0.5,0.5
38,-144.0,0.5,0.5
39,-144.0,0.5,0.5
40,-200.0,-0.2,-0.0
41,-139.0,0.5,0.5
42,-147.0,0.5,0.5
43,-200.0,-0.2,-0.0
44,-139.0,0.5,0.5
45,-143.0,0.5,0.5
46,-142.0,0.5,0.5
47,-153.0,0.5,0.5
48,-144.0,0.5,0.5
49,-143.0,0.5,0.5
50,-147.0,0.5,0.5
51,-147.0,0.5,0.5
52,-156.0,0.5,0.5
53,-200.0,-0.2,-0.0
54,-151.0,0.5,0.5
55,-152.0,0.5,0.5
56,-143.0,0.5,0.5
57,-153.0,0.5,0.5
58,-142.0,0.5,0.5
59,-147.0,0.5,0.5
60,-151.0,0.5,0.5
61,-156.0,0.5,0.5
62,-152.0,0.5,0.5
63,-137.0,0.5,0.5
64,-153.0,0.5,0.5
65,-137.0,0.5,0.5
66,-152.0,0.5,0.5
67,-143.0,0.5,0.5
68,-143.0,0.5,0.5
69,-152.0,0.5,0.5
70,-153.0,0.5,0.5
71,-143.0,0.5,0.5
72,-152.0,0.5,0.5
73,-155.0,0.5,0.5
74,-153.0,0.5,0.5
75,-147.0,0.5,0.5
76,-147.0,0.5,0.5
77,-149.0,0.5,0.5
78,-143.0,0.5,0.5
79,-150.0,0.5,0.5
80,-144.0,0.5,0.5
81,-139.0,0.5,0.5
82,-152.0,0.5,0.5
83,-138.0,0.5,0.5
84,-139.0,0.5,0.5
85,-153.0,0.5,0.5
86,-149.0,0.5,0.5
87,-154.0,0.5,0.5
88,-144.0,0.5,0.5
89,-143.0,0.5,0.5
90,-143.0,0.5,0.5
91,-143.0,0.5,0.5
92,-147.0,0.5,0.5
93,-139.0,0.5,0.5
94,-147.0,0.5,0.5
95,-152.0,0.5,0.5
96,-153.0,0.5,0.5
97,-138.0,0.5,0.5
98,-153.0,0.5,0.5
99,-200.0,0.1,0.1
