Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.6,-0.4
1,-200.0,-0.5,-0.4
2,-200.0,-0.5,-0.5
3,-200.0,-0.7,-0.3
4,-200.0,-0.7,-0.4
5,-200.0,-0.7,-0.3
6,-200.0,-0.5,-0.3
7,-200.0,-0.4,-0.3
8,-200.0,-0.4,-0.3
9,-200.0,-0.5,-0.5
10,-200.0,-0.4,-0.4
11,-200.0,-0.6,-0.2
12,-200.0,-0.5,-0.3
13,-200.0,-0.4,-0.2
14,-200.0,-0.6,-0.3
15,-200.0,-0.3,-0.1
16,-200.0,-0.8,-0.2
17,-200.0,-0.8,-0.2
18,-200.0,-1.0,-0.1
19,-200.0,-0.7,-0.2
20,-200.0,-0.3,-0.3
21,-200.0,-0.5,-0.3
22,-200.0,-0.4,-0.3
23,-200.0,-0.4,-0.3
24,-200.0,-0.7,-0.2
25,-200.0,-0.7,-0.3
26,-200.0,-0.3,-0.3
27,-200.0,-0.7,-0.1
28,-200.0,-0.6,-0.3
29,-200.0,-0.2,-0.2
30,-200.0,-0.6,-0.3
31,-200.0,-0.3,-0.3
32,-200.0,-0.7,-0.2
33,-200.0,-0.5,-0.2
34,-200.0,-0.6,-0.1
35,-200.0,-0.7,-0.3
36,-200.0,-0.2,-0.2
37,-200.0,-0.6,-0.4
38,-200.0,-0.6,-0.4
39,-200.0,-0.8,-0.1
40,-200.0,-0.5,-0.5
41,-200.0,-0.8,-0.2
42,-200.0,-0.5,-0.2
43,-200.0,-0.8,-0.2
44,-200.0,-0.2,-0.2
45,-200.0,-0.9,-0.2
46,-200.0,-0.6,-0.2
47,-200.0,-0.6,-0.2
48,-200.0,-0.2,-0.2
49,-200.0,-0.7,-0.2
50,-200.0,-0.7,-0.2
51,-200.0,-0.6,-0.2
52,-200.0,-0.6,-0.2
53,-200.0,-0.3,-0.1
54,-200.0,-0.9,-0.1
55,-200.0,-0.4,-0.3
56,-200.0,-0.4,-0.0
57,-200.0,-0.5,-0.5
58,-200.0,-0.7,-0.2
59,-200.0,-0.3,-0.1
60,-200.0,-0.4,-0.2
61,-200.0,-1.1,-0.0
62,-200.0,-0.6,-0.0
63,-200.0,-0.4,-0.4
64,-200.0,-0.4,-0.2
65,-200.0,-1.0,-0.1
66,-200.0,-0.3,-0.2
