Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.5,-0.4
1,-200.0,-0.5,-0.4
2,-200.0,-0.4,-0.4
3,-200.0,-0.6,-0.3
4,-200.0,-0.6,-0.5
5,-200.0,-0.4,-0.4
6,-200.0,-0.6,-0.4
7,-200.0,-0.5,-0.5
8,-200.0,-0.5,-0.4
9,-200.0,-0.5,-0.4
10,-200.0,-0.5,-0.4
11,-200.0,-0.5,-0.3
12,-200.0,-0.6,-0.3
13,-200.0,-0.4,-0.4
14,-200.0,-0.4,-0.3
15,-200.0,-0.5,-0.4
16,-200.0,-0.6,-0.2
17,-200.0,-0.5,-0.3
18,-200.0,-0.4,-0.4
19,-200.0,-0.4,-0.4
20,-200.0,-0.4,-0.3
21,-200.0,-0.6,-0.5
22,-200.0,-0.5,-0.4
23,-200.0,-0.6,-0.4
24,-200.0,-0.8,-0.3
25,-200.0,-0.5,-0.5
26,-200.0,-0.5,-0.4
27,-200.0,-0.6,-0.4
28,-200.0,-0.6,-0.5
29,-200.0,-0.6,-0.4
30,-200.0,-0.5,-0.4
31,-200.0,-0.6,-0.4
32,-200.0,-0.6,-0.4
33,-200.0,-0.4,-0.4
34,-200.0,-0.6,-0.4
35,-200.0,-0.4,-0.4
36,-200.0,-0.6,-0.4
37,-200.0,-0.5,-0.5
38,-200.0,-0.5,-0.5
39,-200.0,-0.5,-0.4
40,-200.0,-0.5,-0.3
41,-200.0,-0.6,-0.5
42,-200.0,-0.4,-0.4
43,-200.0,-0.5,-0.5
44,-200.0,-0.4,-0.2
45,-200.0,-0.6,-0.3
46,-200.0,-0.5,-0.5
47,-200.0,-0.5,-0.5
48,-200.0,-0.4,-0.4
49,-200.0,-0.4,-0.4
50,-200.0,-0.3,-0.3
51,-200.0,-0.8,-0.3
52,-200.0,-0.5,-0.4
53,-200.0,-0.6,-0.5
54,-200.0,-0.5,-0.4
55,-200.0,-0.4,-0.3
56,-200.0,-0.7,-0.3
57,-200.0,-0.6,-0.3
58,-200.0,-0.5,-0.4
59,-200.0,-0.6,-0.4
60,-200.0,-0.4,-0.4
61,-200.0,-0.6,-0.2
62,-200.0,-0.4,-0.4
63,-200.0,-0.8,-0.4
64,-200.0,-0.3,-0.3
65,-200.0,-0.5,-0.4
66,-200.0,-0.8,-0.2
67,-200.0,-0.8,-0.3
68,-200.0,-0.5,-0.4
69,-200.0,-0.6,-0.4
70,-200.0,-0.5,-0.5
71,-200.0,-0.7,-0.3
72,-200.0,-0.5,-0.2
73,-200.0,-0.6,-0.4
74,-200.0,-0.5,-0.5
75,-200.0,-0.6,-0.3
76,-200.0,-0.5,-0.4
77,-200.0,-0.4,-0.4
78,-200.0,-0.5,-0.5
79,-200.0,-0.7,-0.4
80,-200.0,-0.5,-0.4
81,-200.0,-0.4,-0.4
82,-200.0,-0.5,-0.4
83,-200.0,-0.4,-0.3
84,-200.0,-0.6,-0.4
85,-200.0,-0.5,-0.4
86,-200.0,-0.6,-0.4
87,-200.0,-0.5,-0.5
88,-200.0,-0.7,-0.3
89,-200.0,-0.5,-0.4
90,-200.0,-0.5,-0.4
91,-200.0,-0.6,-0.4
92,-200.0,-0.6,-0.5
93,-200.0,-0.5,-0.2
94,-200.0,-0.4,-0.4
95,-200.0,-0.6,-0.4
96,-200.0,-0.5,-0.4
97,-200.0,-0.6,-0.4
98,-200.0,-0.4,-0.4
99,-200.0,-0.5,-0.4
100,-200.0,-0.6,-0.3
101,-200.0,-0.5,-0.3
102,-200.0,-0.5,-0.4
103,-200.0,-0.5,-0.5
104,-200.0,-0.5,-0.5
105,-200.0,-0.6,-0.4
106,-200.0,-0.6,-0.4
107,-200.0,-0.5,-0.3
108,-200.0,-0.5,-0.3
109,-200.0,-0.4,-0.4
110,-200.0,-0.6,-0.3
111,-200.0,-0.6,-0.4
112,-200.0,-0.4,-0.4
113,-200.0,-0.4,-0.3
114,-200.0,-0.6,-0.3
115,-200.0,-0.6,-0.4
116,-200.0,-0.4,-0.4
117,-200.0,-0.7,-0.4
118,-200.0,-0.6,-0.4
119,-200.0,-0.3,-0.3
120,-200.0,-0.9,-0.3
121,-200.0,-0.5,-0.4
122,-200.0,-0.7,-0.4
123,-200.0,-0.6,-0.4
124,-200.0,-0.7,-0.3
125,-200.0,-0.5,-0.5
126,-200.0,-0.7,-0.4
127,-200.0,-0.6,-0.4
128,-200.0,-0.4,-0.4
129,-200.0,-0.7,-0.4
130,-200.0,-0.5,-0.4
131,-200.0,-0.4,-0.4
132,-200.0,-0.4,-0.4
133,-200.0,-0.6,-0.4
134,-200.0,-0.6,-0.4
135,-200.0,-0.5,-0.5
136,-200.0,-0.5,-0.4
137,-200.0,-0.7,-0.4
138,-200.0,-0.5,-0.4
139,-200.0,-0.7,-0.4
140,-200.0,-0.6,-0.4
141,-200.0,-0.5,-0.4
142,-200.0,-0.5,-0.4
143,-200.0,-0.5,-0.4
144,-200.0,-0.5,-0.4
145,-200.0,-0.4,-0.4
146,-200.0,-0.4,-0.4
147,-200.0,-0.3,-0.3
148,-200.0,-0.6,-0.4
149,-200.0,-0.6,-0.4
150,-200.0,-0.4,-0.4
151,-200.0,-0.7,-0.4
152,-200.0,-0.5,-0.4
153,-200.0,-0.7,-0.3
154,-200.0,-0.6,-0.5
155,-200.0,-0.4,-0.4
156,-200.0,-0.3,-0.3
157,-200.0,-0.6,-0.3
158,-200.0,-0.6,-0.4
159,-200.0,-0.2,-0.2
160,-200.0,-0.5,-0.4
161,-200.0,-0.6,-0.4
162,-200.0,-0.5,-0.5
163,-200.0,-0.4,-0.4
164,-200.0,-0.5,-0.4
165,-200.0,-0.7,-0.4
166,-200.0,-0.5,-0.4
167,-200.0,-0.5,-0.4
168,-200.0,-0.5,-0.4
169,-200.0,-0.5,-0.4
170,-200.0,-0.5,-0.4
171,-200.0,-0.5,-0.4
172,-200.0,-0.4,-0.4
173,-200.0,-0.4,-0.4
174,-200.0,-0.5,-0.4
175,-200.0,-0.6,-0.4
176,-200.0,-0.6,-0.4
177,-200.0,-0.6,-0.4
178,-200.0,-0.5,-0.2
179,-200.0,-0.7,-0.3
180,-200.0,-0.3,-0.3
181,-200.0,-0.4,-0.4
182,-200.0,-0.5,-0.4
183,-200.0,-0.6,-0.5
184,-200.0,-0.6,-0.4
185,-200.0,-0.5,-0.3
186,-200.0,-0.4,-0.3
187,-200.0,-0.6,-0.4
188,-200.0,-0.6,-0.3
189,-200.0,-0.4,-0.3
190,-200.0,-0.5,-0.4
191,-200.0,-0.2,-0.2
192,-200.0,-0.5,-0.3
193,-200.0,-0.5,-0.4
194,-200.0,-0.4,-0.4
195,-200.0,-0.6,-0.4
196,-200.0,-0.6,-0.4
197,-200.0,-0.4,-0.4
198,-200.0,-0.5,-0.5
199,-200.0,-0.5,-0.4
200,-200.0,-0.6,-0.4
201,-200.0,-0.5,-0.5
