Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.35461240704919134,-0.35461240704919134
1,-200.0,-0.5957968887935623,-0.3951231562058122
2,-200.0,-0.8034008224452143,-0.20386165932266895
3,-200.0,-0.44834048223672796,-0.3221553420251114
4,-200.0,-0.3729943082387375,-0.23082640642374225
5,-200.0,-0.18231740738594632,-0.18231740738594632
6,-200.0,-0.3467914392805611,-0.25560057582161316
7,-200.0,-0.4965942099270861,-0.32196846227119164
8,-200.0,-0.521182844077751,-0.35183077216517633
9,-200.0,-0.6065810197029874,-0.19408530525460854
10,-200.0,-0.24887911821650596,-0.24887911821650596
11,-200.0,-0.6173284652887319,-0.15234714820304993
12,-200.0,-0.8129327918417054,-0.21775407922520848
13,-200.0,-0.6784969200768133,-0.3299805323009205
14,-200.0,-1.0512084795719525,-0.07312809720262328
15,-200.0,-0.8369315087066893,-0.21556617331623576
16,-200.0,-0.20842199537062958,-0.04339851948594789
17,-200.0,-0.35748029850439916,-0.23562342025872796
18,-200.0,-0.6450033080452573,-0.23759170644769817
19,-200.0,-0.5992620902946355,-0.11625933279418786
20,-200.0,-0.46786542745112675,-0.23993507587518142
21,-200.0,-0.4451495269893531,-0.1544144788206136
22,-200.0,-0.5466994731889531,-0.13510603733012866
23,-200.0,-0.5976316211678885,-0.3400086599928961
24,-200.0,-0.9041456134548564,-0.08765440540051737
25,-200.0,-0.2590186525690101,-0.10828555887084439
26,-200.0,-0.6019279852713444,-0.32622665471420337
27,-200.0,-0.2812913024366571,-0.2812913024366571
28,-200.0,-0.6621350937499256,-0.21125907452800582
29,-200.0,-0.6481931360875924,-0.0801164417377665
30,-200.0,-0.17509971590291262,-0.17257870146988774
31,-200.0,-0.5789115868227117,-0.1549197534961269
32,-200.0,-0.6042073725786027,-0.30563884423452925
33,-200.0,-0.7884518345914574,-0.18528421699921857
34,-200.0,-0.6896362520453715,-0.1716677404360049
35,-200.0,-0.4072072749723611,-0.2692433851595254
36,-200.0,-0.213219856073877,-0.213219856073877
37,-200.0,-0.8402245031064515,-0.157830762136871
38,-200.0,-0.2582740610423108,-0.2582740610423108
39,-200.0,-0.48650551804164677,-0.19591755578842557
40,-200.0,-0.7677815878452882,-0.35290953007774883
41,-200.0,-0.8524629333786086,-0.1887425881504787
42,-200.0,-0.48949416349369523,-0.14245783471832527
43,-200.0,-0.7863545378168044,-0.17488875582669722
44,-200.0,-0.46770509652938913,-0.11472760847735283
45,-200.0,-0.2286798991290115,-0.2286798991290115
46,-200.0,-0.3897606661212046,-0.15623304313985809
47,-200.0,-0.27763151558042654,-0.08014125487647299
48,-200.0,-0.677133883781561,-0.12513038707585833
49,-200.0,-0.5633039376268978,-0.17084626565907207
50,-200.0,-0.7351178214911342,-0.22211862394727577
51,-200.0,-0.7988761425092343,-0.10030689387245242
52,-200.0,-0.676713187296875,-0.31842309560975873
53,-200.0,-0.6061574231670088,-0.21370636901975176
54,-200.0,-0.9777770181389905,-0.0748172502704789
55,-200.0,-0.23150439835993172,-0.2242602096068064
56,-200.0,-0.7433124744592648,-0.10681669689267188
57,-200.0,-0.8323392067945199,-0.25369305782964824
58,-200.0,-0.762776078369508,-0.11244883122397156
59,-200.0,-0.6772764533567547,-0.14535007559214888
60,-200.0,-0.5600844331029539,-0.14427873098205385
61,-200.0,-0.21888376097687443,0.006497921156659293
62,-200.0,-0.8637985909903656,0.01335862918316943
63,-200.0,-1.005774475878315,-0.03225661040348032
64,-200.0,-0.598230876420499,-0.1371019315992255
65,-200.0,-0.533095692715668,-0.3127289799554761
66,-200.0,-0.6131292162256843,-0.20193052814074972
67,-200.0,-0.5527660291710133,-0.2886758683498597
68,-200.0,-1.1664106454094094,-0.0540050951046879
69,-200.0,-0.6192246545744212,-0.1878257838930551
70,-200.0,-0.34468086535066866,-0.14702123328755032
71,-200.0,-1.0284760760437581,-0.007851648491603714
72,-200.0,-0.34556649700019537,-0.18565745672293912
73,-200.0,-1.0752660872286983,0.1333463622926012
74,-200.0,-0.47493285253742473,-0.16628468984098538
75,-200.0,-0.764718347422952,-0.17693135011814515
76,-200.0,-0.7640547658263223,-0.24227380740053484
77,-200.0,-0.73168715766264,-0.34430283096104425
78,-200.0,-0.43064637991889676,-0.20465367003312002
79,-200.0,-0.22659009369879132,-0.052323589210391264
80,-200.0,-0.5327110559566062,-0.2966451830408011
81,-200.0,-0.35207466565021583,-0.32728133196344533
82,-200.0,-0.7401770088114948,-0.0955974843887148
83,-200.0,-0.8727947770546721,-0.2236518502894824
84,-200.0,-0.7197613331764466,-0.14550539352727362
85,-200.0,-0.47478463170139296,-0.21243910229354968
86,-200.0,-0.3926068520078811,-0.3597664622537745
87,-200.0,-0.7561411041529863,-0.32604781514987696
88,-200.0,-0.7005654147531578,-0.18055472872776934
89,-200.0,-0.36810274282177835,-0.1475439177084414
90,-200.0,-0.4871451467502988,-0.25418693338780485
91,-200.0,-1.1036681311410421,-0.09422950758163469
92,-200.0,-0.8054020288480751,-0.17493095394415709
93,-200.0,-0.6611386465489288,-0.1539176153136833
94,-200.0,-0.07294732092855019,-0.06850249476901253
95,-200.0,-0.3935568677423995,-0.11514589502048166
96,-200.0,-0.19883283476232333,-0.13500816543333954
97,-200.0,-0.21595083731690243,-0.029907176050877764
98,-200.0,-1.0161412063751745,-0.04013956783799047
99,-200.0,-0.6710635888564974,-0.2715795058944345
100,-200.0,-0.8086339283289733,-0.32493952470501547
101,-200.0,-0.6745543995251551,-0.24383958357104907
102,-200.0,-0.5651081997235601,0.057067838693341574
103,-200.0,-0.2657495784864003,-0.10586100640259563
